# English-Italian dictionary created from Wikipedia database
# Created on: 2011-04-01T04:13:14+02:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
0 (number)	Zero
Beryl	Berillo
Beryllium	Berillio
Beta (letter)	Beta (lettera)
Beta decay	Decadimento beta
Betelgeuse	Betelgeuse
Bethlehem	Betlemme
Bette Davis	Bette Davis
Beverly Hills	Beverly Hills
Bey	Bey (carica)
Bhutan	Bhutan
Bhutan	Categoria:Bhutan
Bible	Bibbia
Bible	Categoria:Bibbia
Bibliography	Bibliografia
Bicycle	Bicicletta
Big Bang	Big Bang
Bihar	Bihar (India)
Bikini	Bikini
Bile	Bile
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Billy Wilder	Billy Wilder
Binary star	Stella binaria
Binoculars	Binocolo
Biochemistry	Biochimica
Biochemistry	Categoria:Biochimica
Biodiversity	Biodiversità
Biogeography	Biogeografia
Biography	Biografia
Biological warfare	Arma biologica
Biology	Biologia
Biology	Categoria:Biologia
Biology	Portale:Biologia
Biomass	Biomassa
Biome	Bioma
Biometrics	Biometria
Biophysics	Biofisica
Biopsy	Biopsia
Biosphere	Biosfera
Biotechnology	Biotecnologia
Biotechnology	Categoria:Biotecnologie
Biotin	Biotina
Bipolar disorder	Psicosi maniaco-depressiva
Birch	Betula
Bird	Aves
Birmingham	Birmingham (Alabama)
Birth control	Contraccezione
Bisexuality	Bisessualità
Bishkek	Biškek
Bishop	Vescovo
Bishop (chess)	Alfiere (scacchi)
Bismarck	Bismarck (Dakota del Nord)
Bismarck (disambiguation)	Bismarck
Bismuth	Bismuto
Bissau	Bissau
Bit	Bit (informatica)
Bithynia	Bitinia
Bivalvia	Bivalvia
Black	Nero
Black Death	Peste nera
Black Forest	Foresta Nera
Black Kite	Milvus migrans
Black Sea	Mar Nero
Black Stork	Ciconia nigra
Black body	Corpo nero
Black hole	Buco nero
Black pepper	Piper nigrum
Blackbird	Turdus merula
Blaise Pascal	Blaise Pascal
Blender (software)	Blender
Blindness	Cecità
Blitzkrieg	Blitzkrieg
Bloemfontein	Bloemfontein
Blog	Blog
Blood	Sangue
Blood plasma	Plasma (biologia)
Blood pressure	Pressione del sangue
Blood type	Gruppo sanguigno
Blood vessel	Vaso sanguigno
Blue	Blu
Blue Whale	Balaenoptera musculus
Blues	Blues
Boar	Sus scrofa
Board game	Gioco da tavolo
Boat	Imbarcazione
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Bobby Fischer
Bobsleigh	Bob
Bodhisattva	Bodhisattva
Body mass index	Indice di massa corporea
Bodybuilding	Culturismo
Bohemia	Boemia
Bohrium	Bohrio
Boiling point	Punto di ebollizione
Boise	Boise
Boletus edulis	Boletus edulis
Bolivia	Bolivia
Bolivia	Categoria:Bolivia
Bollywood	Bollywood
Bologna	Bologna
Bolshevik	Bolscevismo
Bolzano	Bolzano
Bomb	Bomba (ordigno)
Bomber	Bombardiere
Bombyx mori	Bombyx mori
Bond (finance)	Obbligazione (finanza)
Bone	Osso
Bone marrow	Midollo osseo
Bonn	Bonn
Bonsai	Bonsai
Book	Libro
Book of Esther	Libro di Ester
Book of Joshua	Libro di Giosuè
Book of Judges	Libro dei Giudici
Book of Mormon	Libro di Mormon
Book of Numbers	Numeri (Bibbia)
Book of Revelation	Apocalisse di Giovanni
Book of Ruth	Libro di Rut
Boolean algebra (structure)	Algebra di Boole
Boomerang	Boomerang
Bordeaux	Bordeaux
Boris Godunov	Boris Godunov (zar)
Boris Pasternak	Boris Leonidovič Pasternak
Boris Spassky	Boris Vasil'evič Spasskij
Borneo	Borneo
Boron	Boro
Bosnia and Herzegovina	Bosnia-Erzegovina
Bosnia and Herzegovina	Categoria:Bosnia Erzegovina
Boson	Bosone
Bosporus	Bosforo
Boston	Boston (Massachusetts)
Boston Tea Party	Boston Tea Party
Bot	Template:Bot
Botanical garden	Orto botanico
Botany	Botanica
Botany	Categoria:Botanica
Botswana	Botswana
Botswana	Categoria:Botswana
Bottle	Bottiglia
Bottlenose Dolphin	Tursiops truncatus
Bourgeoisie	Borghesia
Bourgogne	Borgogna
Bouvet Island	Isola Bouvet
Bovid	Bovidae
Bow (weapon)	Arco (arma)
Bowling	Bowling
Boxer (dog)	Boxer (cane)
Boxers	Categoria:Pugili
Boxing	Pugilato
Boxing	Categoria:Pugilato
Boyle's law	Legge di Boyle-Mariotte
Bracket	Parentesi
Braga	Braga
Brahma	Brahma
Brahmaputra River	Brahmaputra
Braille	Braille
Brain	Cervello
Brainstorming	Brainstorming
Bram Stoker	Bram Stoker
Brandenburg	Brandeburgo
Brandy	Brandy
Brass	Ottone (metallo)
Brassicaceae	Brassicaceae
Brassiere	Reggiseno
Bratislava	Bratislava
Braunschweig	Braunschweig
Brazil	Brasile
Brazil	Categoria:Brasile
Brazzaville	Brazzaville
Bread	Pane
Breast	Mammella
Breast cancer	Carcinoma mammario
Bremen	Brema (città)
Bremen (state)	Brema (stato)
Bremerhaven	Bremerhaven
Brescia	Brescia
Brest	Brest (Francia)
Brest	Brěst
Brest	Brest
Bretagne	Bretagna
Brick	Mattone
Bridge	Ponte
Bridges	Categoria:Ponti
Bridgetown	Bridgetown
Brigade	Brigata
Brighton	Brighton
Brindisi	Brindisi
Brisbane	Brisbane
Bristol	Bristol
British Columbia	Columbia Britannica
British Empire	Impero britannico
British Isles	Arcipelago britannico
British Virgin Islands	Isole Vergini britanniche
British people	Categoria:Britannici
Brno	Brno
Broadway (New York City)	Broadway
Bromine	Bromo
Bronze	Bronzo
Bronze Age	Età del bronzo
Brooklyn	Brooklyn
Brooklyn Bridge	Ponte di Brooklyn
Brown	Marrone
Brown Bear	Ursus arctos
Brownian motion	Moto browniano
Bruce Lee	Bruce Lee
Bruges	Bruges
Brunei	Brunei
Brunei	Categoria:Brunei
Brussels	Bruxelles
Bubonic plague	Peste
Bucharest	Bucarest
Buckingham Palace	Buckingham Palace
Buckminster Fuller	Richard Buckminster Fuller
Buckwheat	Fagopyrum esculentum
Budapest	Budapest
Buddha	Buddha
Buddhism	Buddhismo
Buddhism	Categoria:Buddhismo
Buddy Holly	Buddy Holly
Buenos Aires	Buenos Aires
Buffalo	Buffalo (New York)
Building	Edificio
Bujumbura	Bujumbura
Bulgaria	Bulgaria
Bulgaria	Categoria:Bulgaria
Bumblebee	Bombus
Buoyancy	Principio di Archimede
Bureaucracy	Burocrazia
Burgomaster	Sindaco
Burkina Faso	Burkina Faso
Burkina Faso	Categoria:Burkina Faso
Burma	Birmania
Burma	Categoria:Birmania
Burqa	Burqa
Bursa	Bursa
Burundi	Categoria:Burundi
Bus	Autobus
Bus (computing)	Bus (informatica)
Business	Business
Businesspeople	Categoria:Imprenditori
Buster Keaton	Buster Keaton
Butane	Butano
Butter	Burro
Butterfly	Farfalla
Butterfly effect	Effetto farfalla
Bydgoszcz	Bydgoszcz
Byte	Byte
Byzantine Empire	Categoria:Impero bizantino
C	C
C (programming language)	C (linguaggio)
C. S. Lewis	Clive Staples Lewis
CD (disambiguation)	CD
CHAOS (Linux distribution)	CHAOS
CN Tower	CN Tower
COBOL	COBOL
Cabaret	Cabaret (spettacolo)
Cacao	Theobroma cacao
Cache	Cache
Cactus	Cactaceae
Cadmium	Cadmio
Cadmus	Cadmo
Caelum	Bulino (costellazione)
Caesium	Cesio (elemento)
Caffeine	Caffeina
Cairo	Il Cairo
Cake	Torta
Calabria	Calabria
Calais	Calais
Calcite	Calcite
Calcium	Calcio (metallo)
Calcium carbonate	Carbonato di calcio
Calcium oxide	Ossido di calcio
Calculator	Calcolatrice
Calculus	Calcolo infinitesimale
Caldera	Caldera (geologia)
Calendar	Calendario
Caliber	Calibro (arma)
California	California
California	Categoria:California
Californium	Californio
Caligula	Caligola
Caliph	Califfo
Calligraphy	Calligrafia
Calliope	Calliope
Callisto (moon)	Callisto (astronomia)
Callisto (mythology)	Callisto
Calorie	Caloria
Calvados	Calvados
Calvary	Calvario
Calvin Coolidge	Calvin Coolidge
Calvinism	Calvinismo
Calypso (mythology)	Calipso
Cambodia	Cambogia
Cambodia	Categoria:Cambogia
Cambrian	Cambriano
Cambridge	Cambridge
Cambridge	Cambridge (Massachusetts)
Cambridge (disambiguation)	Cambridge (disambigua)
Camel	Cammello
Camembert (cheese)	Camembert (formaggio)
Camera	Macchina fotografica
Cameroon	Camerun
Cameroon	Categoria:Camerun
Campania	Campania
Canada	Canada
Canada	Categoria:Canada
Canadian dollar	Dollaro canadese
Canal	Canale artificiale
Canary Islands	Isole Canarie
Canary Islands	Categoria:Canarie
Canberra	Canberra
Cancer	Tumore
Cancer (constellation)	Cancro (costellazione)
Candela	Candela (unità di misura)
Candle	Candela (illuminazione)
Canidae	Canidae
Canis Major	Cane Maggiore (costellazione)
Canis Minor	Cane Minore (costellazione)
Cannabis	Cannabis
Cannabis (drug)	Marijuana
Cannes	Cannes
Cannibalism	Cannibalismo
Cannon	Cannone
Canoe	Canoa (imbarcazione)
Canon (company)	Canon
Canopus	Canopo
Cantata	Cantata
Canterbury	Canterbury (Regno Unito)
Cantonese (linguistics)	Lingua cantonese
Canute the Great	Canuto I di Danimarca
Capacitance	Capacità elettrica
Capacitor	Condensatore
Cape Canaveral	Cape Canaveral
Cape Horn	Capo Horn
Cape Town	Città del Capo
Cape Verde	Capo Verde
Cape Verde	Categoria:Capo Verde
Cape of Good Hope	Capo di Buona Speranza
Capital	Capitale (città)
Capital (economics)	Capitale (economia)
Capital punishment	Pena di morte
Capitalism	Capitalismo
Cappadocia	Cappadocia (regione)
Capricornus	Capricorno (costellazione)
Capsicum	Capsicum
Caracal	Caracal caracal
Caracas	Caracas
Carambola	Averrhoa carambola
Carat (mass)	Carato
Carat (purity)	Carato
Caravaggio	Michelangelo Merisi da Caravaggio
Carbohydrate	Glucidi
Carbon	Carbonio
Carbon cycle	Ciclo del carbonio
Carbon dioxide	Anidride carbonica
Carbon monoxide	Monossido di carbonio
Carbonic acid	Acido carbonico
Carboniferous	Carbonifero
Carboxylic acid	Acidi carbossilici
Carburetor	Carburatore
Card game	Gioco di carte
Cardamom	Cardamomo
Cardiff	Cardiff
Cardinal (Catholicism)	Cardinale
Cardinal Richelieu	Armand-Jean du Plessis de Richelieu
Cardiology	Cardiologia
Cardiology	Categoria:Cardiologia
Cardiovascular system	Categoria:Sistema cardiovascolare
Caribbean	Caraibi
Caribbean Sea	Mare Caraibico
Caricature	Caricatura
Carina (constellation)	Carena (costellazione)
Carl David Anderson	Carl David Anderson
Carl Jung	Carl Jung
Carl Lewis	Carl Lewis
Carl Maria von Weber	Carl Maria von Weber
Carl Orff	Carl Orff
Carnival	Carnevale
Carnivora	Carnivora
Carnivore	Carnivoro
Carnivorous plant	Pianta carnivora
Carolingian dynasty	Carolingi
Carolus Linnaeus	Carl von Linné
Carpathian Mountains	Carpazi
Carrot	Daucus carota
Carson City	Carson City
Cartagena	Cartagena (Spagna)
Cartesian coordinate system	Piano cartesiano
Cartesian product	Prodotto cartesiano
Carthage	Cartagine
Cartography	Cartografia
Cartography	Categoria:Cartografia
Cary Grant	Cary Grant
Caryophyllales	Caryophyllales
Casablanca	Casablanca
Cashew	Anacardium
Casino	Casa da gioco
Caspian Sea	Mar Caspio
Cassandra	Cassandra (mitologia)
Cassiopeia (constellation)	Cassiopea (costellazione)
Cast iron	Ghisa
Caste	Casta
Castile (historical region)	Castiglia
Castle	Castello
Castling	Arrocco
Castries	Castries (Saint Lucia)
Casus belli	Casus belli
Cat	Felis silvestris catus
Catalonia	Catalogna
Catalonia	Categoria:Catalogna
Catalysis	Catalisi
Cataphract	Catafratto
Cataract	Cataratta
Catfish	Siluriformes
Catharism	Catarismo
Cathedral	Cattedrale
Catherine Parr	Catherine Parr
Catherine of Aragon	Caterina d'Aragona
Cathode	Catodo
Catholicism	Tradizione cattolica
Cattle	Bos taurus
Cattle Egret	Bubulcus ibis
Catullus	Gaio Valerio Catullo
Caucasus	Caucaso
Caucasus Mountains	Catena del Caucaso
Causality	Causalità
Cavalry	Cavalleria
Cave	Grotta
Caviar	Caviale
Cayenne	Caienna
Cayman Islands	Isole Cayman
Cecil Rhodes	Cecil Rhodes
Cedar	Cedrus
Celery	Apium graveolens
Celestial equator	Equatore celeste
Celestial mechanics	Categoria:Meccanica celeste
Celestial mechanics	Meccanica celeste
Celestial sphere	Sfera celeste
Celibacy	Celibato
Cell (biology)	Cellula
Cell membrane	Membrana cellulare
Cell nucleus	Nucleo cellulare
Cell wall	Parete cellulare
Cello	Violoncello
Cellulose	Cellulosa
Celsius	Celsius
Cement	Cemento (edilizia)
Cemetery	Cimitero
Cenozoic	Cenozoico
Census	Censimento
Centaur	Centauro
Centaurus	Centauro (costellazione)
Center of mass	Centro di massa
Centimetre	Centimetro
Central Africa	Africa Centrale
Central African Republic	Repubblica Centrafricana
Central African Republic	Categoria:Repubblica Centrafricana
Central America	America centrale
Central America	Categoria:America centrale
Central Intelligence Agency	Central Intelligence Agency
Central Park	Central Park
Central Powers	Imperi centrali
Central bank	Banca centrale
Central nervous system	Sistema nervoso centrale
Central processing unit	CPU
Centre	Centro (regione francese)
Centriole	Centriolo
Century	Secolo
Cephalopod	Cephalopoda
Cepheus (constellation)	Cefeo (costellazione)
Ceramic	Ceramica
Cerberus	Cerbero
Cereal	Cereali
Cerebellum	Cervelletto
Ceres	Ceres
Ceres (dwarf planet)	Cerere (astronomia)
Ceres (mythology)	Cerere
Cerium	Cerio
Cesare Borgia	Cesare Borgia
Cestoda	Cestoda
Cetacea	Cetacea
Cetus	Balena (costellazione)
Chad	Ciad
Chad	Categoria:Ciad
Chaffinch	Fringilla coelebs
Chair	Sedia
Chalcedony	Calcedonio
Chamaeleon	Camaleonte (costellazione)
Chamois	Rupicapra rupicapra
Champagne (wine)	Champagne
Champagne-Ardenne	Champagne-Ardenne
Channel Tunnel	Eurotunnel
Chaos (mythology)	Caos (mitologia)
Charadriiformes	Charadriiformes
Charlemagne	Carlo Magno
Charleroi	Charleroi
Charles	Carlo, principe del Galles
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Charles Dickens	Charles Dickens
Charles Fourier	Charles Fourier
Charles Lindbergh	Charles Lindbergh
Charles Peirce	Charles Sanders Peirce
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Charles the Bald	Carlo il Calvo
Charleston	Charleston (Virginia Occidentale)
Charlie Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Charlotte	Charlotte (Carolina del Nord)
Charmed	Streghe
Charon (moon)	Caronte (astronomia)
Charon (mythology)	Caronte (mitologia)
Chartres	Chartres
Chauvinism	Sciovinismo
Che Guevara	Che Guevara
Chechnya	Cecenia
Chechnya	Categoria:Cecenia
Cheese	Formaggio
Cheetah	Acinonyx jubatus
Chelyabinsk	Čeljabinsk
Chemical bond	Legame chimico
Chemical compound	Composto chimico
Chemical element	Elemento chimico
Chemical engineering	Ingegneria chimica
Chemical formula	Formula chimica
Chemical reaction	Reazione chimica
Chemical warfare	Armi chimiche
Chemistry	Chimica
Chemistry	Categoria:Chimica
Chemistry	Portale:Chimica
Chemnitz	Chemnitz
Chemotherapy	Chemioterapia
Chennai	Chennai
Cheque	Assegno
Chernobyl	Černobyl'
Cherry	Ciliegia
Chert	Selce
Cherub	Cherubino
Chess	Scacchi
Chess	Categoria:Scacchi
Chess opening	Apertura (scacchi)
Chester A. Arthur	Chester Arthur
Chestnut	Castanea
Chewing gum	Gomma da masticare
Cheyenne	Cheyenne (Wyoming)
Chi (letter)	Chi (lettera)
Chiang Kai-shek	Chiang Kai-shek
Chicago	Chicago
Chicken	Gallo (animale)
Chickenpox	Varicella
Chickpea	Cicer arietinum
Chihuahua	Chihuahua (stato)
Child	Bambino
Childbirth	Parto
Chile	Cile
Chile	Categoria:Cile
Chimborazo (volcano)	Chimborazo
Chimera (mythology)	Chimera (mitologia)
Chimpanzee	Pan (zoologia)
China	Categoria:Cina
Chios	Chio
Chiron	Chirone (mitologia)
Chitin	Chitina
Chlorine	Cloro
Chloroform	Cloroformio
Chlorophyll	Clorofilla
Chloroplast	Cloroplasto
Chocolate	Cioccolato
Choir	Coro (musica)
Cholera	Colera
Cholesterol	Colesterolo
Chondrichthyes	Chondrichthyes
Chongqing	Chongqing
Chord (music)	Accordo (musica)
Chordate	Chordata
Christchurch	Christchurch
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Christianity	Cristianesimo
Christianity	Categoria:Cristianesimo
Christmas	Natale
Christmas	Categoria:Natale
Christmas Eve	Vigilia di Natale
Christmas tree	Albero di Natale
Christopher Columbus	Cristoforo Colombo
Christopher Marlowe	Christopher Marlowe
Chromatin	Cromatina
Chromatography	Cromatografia
Chromium	Cromo
Chromosome	Cromosoma
Chronology	Categoria:Cronologia
Chuck Berry	Chuck Berry
Chukchi Sea	Mare dei Chukci
Church	Chiesa (istituzione)
Church (building)	Chiesa (architettura)
Church of England	Chiesa anglicana
Cicero	Marco Tullio Cicerone
Ciconiiformes	Ciconiiformes
Cider	Sidro
Cigarette	Sigaretta
Cinderella	Cenerentola
Cinnabar	Cinabro
Cinnamon	Cinnamomum zeylanicum
Circe	Circe
Circinus	Compasso (costellazione)
Circle	Cerchio
Circulatory system	Apparato circolatorio
Circumcision	Circoncisione
Circus	Circo (spettacolo)
Cirrhosis	Cirrosi epatica
Citizenship	Cittadinanza (diritto)
Citric acid	Acido citrico
Citric acid cycle	Ciclo di Krebs
Citrus	Citrus
City-state	Città-stato
Civil war	Guerra civile
Civilization	Civiltà
Civilization (computer game)	Civilization
Clarinet	Clarinetto
Clark Gable	Clark Gable
Class	Classe
Class (biology)	Classe (tassonomia)
Class (computer science)	Classe (informatica)
Classical mechanics	Meccanica classica
Classical music	Musica classica
Classical music	Categoria:Musica classica
Classicism	Classicismo (arte)
Claude Monet	Claude Monet
Claude Shannon	Claude Shannon
Claudio Monteverdi	Claudio Monteverdi
Claudius	Claudio
Clavicle	Clavicola
Clay	Argilla
Clef	Chiave musicale
Clement Attlee	Clement Attlee
Cleopatra (disambiguation)	Cleopatra (disambigua)
Clergy	Clero
Cleveland	Cleveland (Ohio)
Client-server	Sistema client/server
Climate	Clima
Climate change	Mutamento climatico
Climatology	Climatologia
Climatology	Categoria:Climatologia
Clinical depression	Depressione (malattia)
Clio	Clio
Clitoris	Clitoride
Clock	Orologio
Clock Tower	Big Ben
Cloning	Clonazione (genetica)
Clothing	Categoria:Abbigliamento
Clothing	Abbigliamento
Cloud	Nuvola
Clove	Eugenia caryophyllata
Clover	Trifolium
Clovis I	Clodoveo I
Cnidaria	Cnidaria
Coal	Carbone (minerale)
Coast	Costa
Coat of arms	Stemma
Cobalt	Cobalto
Cocaine	Cocaina
Coccinellidae	Coccinellidae
Cockatoo	Cacatuidae
Cockroach	Blattodea
Cocktail	Cocktail
Coconut	Cocos nucifera
Cocos (Keeling) Islands	Isole Cocos
Codeine	Codeina
Coffee	Caffè
Coffee	Categoria:Caffè
Cognac (drink)	Cognac (liquore)
Cognitive psychology	Psicologia cognitiva
Cognitive science	Scienze cognitive
Coin	Moneta
Cola	Cola (bibita)
Colchis	Colchide
Cold War	Guerra fredda
Cold War	Categoria:Guerra Fredda
Colin Powell	Colin Powell
Collage	Collage (arte)
Collagen	Collagene
Colloid	Colloide
Cologne	Colonia (Germania)
Colombia	Colombia
Colombia	Categoria:Colombia
Colombo	Colombo (città)
Colonel	Colonnello
Colony	Colonia (insediamento)
Color	Colore
Color blindness	Daltonismo
Colorado	Colorado
Colorado	Categoria:Colorado
Colorado River	Colorado (fiume - Utah)
Colosseum	Colosseo
Colossus of Rhodes	Colosso di Rodi
Colubrid	Colubridae
Columba (constellation)	Colomba (costellazione)
Columbia	Columbia (Carolina del Sud)
Columbia	Columbia
Columbia River	Columbia (fiume)
Columbia University	Columbia University
Columbidae	Columbidae
Columbiformes	Columbiformes
Columbus	Columbus (Ohio)
Columbus	Columbus
Coma	Coma
Coma Berenices	Chioma di Berenice (costellazione)
Combustion	Combustione
Comedy	Commedia
Comenius	Comenius
Comet	Cometa
Comma (punctuation)	Virgola
Commedia dell'arte	Commedia dell'arte
Commerce	Categoria:Commercio
Common Fig	Ficus carica
Common cold	Raffreddore comune
Commonwealth of Independent States	Comunità degli Stati Indipendenti
Commonwealth of Nations	Commonwealth delle nazioni
Communication	Categoria:Comunicazione
Communication	Comunicazione
Communism	Comunismo
Communism	Categoria:Comunismo
Comoros	Comore
Comoros	Categoria:Comore
Compact Disc	Compact disc
Company (military unit)	Compagnia (unità militare)
Compass	Bussola
Compass (drafting)	Compasso (strumento)
Competition	Concorrenza (diritto commerciale)
Compiler	Compilatore
Complex instruction set computer	Complex instruction set computer
Complex number	Numero complesso
Composer	Compositore
Composite material	Materiale composito
Composite number	Numero composto
Computational linguistics	Linguistica computazionale
Computed tomography	Tomografia computerizzata
Computer	Computer
Computer architecture	Architettura (computer)
Computer display	Monitor (video)
Computer file	File
Computer graphics	Categoria:Computer grafica
Computer hardware	Hardware
Computer hardware	Categoria:Hardware
Computer network	Rete informatica
Computer program	Programma (informatica)
Computer programming	Programmazione (informatica)
Computer programming	Categoria:Programmazione
Computer science	Informatica
Computer science	Categoria:Informatica
Computer software	Software
Computer virus	Virus (informatica)
Computer-aided design	CAD
Computing	Categoria:Informatica
Conakry	Conakry
Concentration	Concentrazione
Concerto	Concerto (composizione musicale)
Concord	Concord (New Hampshire)
Concrete	Calcestruzzo
Condom	Profilattico
Conducting	Direttore d'orchestra
Cone (geometry)	Cono (solido)
Confederate States of America	Stati Confederati d'America
Confederation	Confederazione
Confession	Penitenza (sacramento)
Confirmation	Confermazione
Conflict	Conflitto (sociologia)
Confucianism	Confucianesimo
Confucius	Confucio
Congo	Congo
Congo River	Congo (fiume)
Conic section	Sezione conica
Connecticut	Connecticut
Connecticut	Categoria:Connecticut
Connective tissue	Tessuto connettivo
Conquistador	Conquistadores
Conservation of energy	Legge di conservazione dell'energia
Conservatism	Conservatorismo
Consonant	Consonante
Constantine I	Costantino I
Constantinople	Costantinopoli
Constellation	Costellazione
Constitution (political)	Costituzione
Consul	Console (storia romana)
Consumption (economics)	Consumo
Contact lens	Lente a contatto
Continent	Continente
Continental drift	Deriva dei continenti
Continental shelf	Piattaforma continentale
Contract	Contratto
Contract bridge	Bridge (gioco)
Convection	Convezione
Cooking	Cottura
Cooperative	Società cooperativa
Coordinate system	Sistema di riferimento
Coordinated Universal Time	Tempo coordinato universale
Copenhagen	Copenaghen
Copper	Rame
Copyright	Copyright
Cor anglais	Corno inglese
Coraciiformes	Coraciiformes
Coral Sea	Mar dei Coralli
Coral reef	Barriera corallina
Coriander	Coriandrum sativum
Corinth	Corinto
Coriolis effect	Forza di Coriolis
Cork (city)	Cork
Cornea	Cornea
Cornell University	Cornell University
Cornwall	Cornovaglia
Corona Borealis	Corona Boreale (costellazione)
Corporation	Società (diritto)
Corrosion	Corrosione
Corsica	Corsica
Corundum	Corindone
Corvette	Corvetta
Corvidae	Corvidae
Corvus (constellation)	Corvo (costellazione)
Cosmic microwave background radiation	Radiazione cosmica di fondo
Cosmic ray	Raggi cosmici
Cosmology	Cosmologia
Cosmology	Categoria:Cosmologia
Costa Rica	Costa Rica
Costa Rica	Categoria:Costa Rica
Cotonou	Cotonou
Cotopaxi	Cotopaxi
Cotton	Cotone (fibra)
Cougar	Puma concolor
Coulomb	Coulomb
Coulomb's law	Forza di Coulomb
Council of Chalcedon	Concilio di Calcedonia
Council of Ephesus	Concilio di Efeso
Council of Trent	Concilio di Trento
Counterpoint	Contrappunto
Country music	Country (musica)
Court	Tribunale
Covalent bond	Legame covalente
Coventry	Coventry
Coyote	Canis latrans
Crab	Brachyura
Crab Nebula	Nebulosa del Granchio
Crane (bird)	Gruidae
Crater (constellation)	Cratere (costellazione)
Creationism	Creazionismo
Cremona	Cremona
Cretaceous	Cretacico
Crete	Creta
Cricket	Cricket
Crimea	Crimea
Crimean War	Guerra di Crimea
Criminal law	Categoria:Diritto penale
Criminal law	Diritto penale
Criminology	Criminologia
