# English-Russian translations created from the Universal dictionary at 2011-04-05T14:49:10-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 April ; Apr 	 апрель 	 time 
 musician ; instrumentalist ; player 	 музыкант 	 profession 
 my 	 мой 	 pronoun 
 nail 	 гвоздь 	 object 
 nail 	 ноготь 	 anatomy 
 name 	 имя 	 linguistics 
 name ; call 	 назвать 	 verb 
 narrow 	 узкий 	 adjective 
 nation ; land ; country 	 народ ; нация 	 society 
 national 	 национальный ; народный 	 adjective 
 national 	 национальный ; народный 	 adjective 
 natural 	 натуральный 	 adjective 
 natural language ; tongue 	 язык 	 linguistics 
 nature 	 природа 	 nature 
 near ; close ; nigh 	 близкий ; недалёкий 	 adjective 
 necessary 	 необходимый 	 adjective 
 necessitate ; ask ; postulate ; need ; require ; take ; involve ; call for ; demand 	 требовать 	 verb 
 neck ; cervix 	 шея ; горло 	 anatomy 
 necktie ; tie 	 галстук 	 clothes 
 need ; demand 	 потребность 	 abstract 
 needle 	 иголка ; игла 	 medicine 
 neighbor ; neighbour 	 сосед 	 family 
 nerve ; nervus 	 нерв 	 anatomy 
 net ; network ; mesh ; meshing ; meshwork 	 сплетение 	 material 
 net income ; net ; net profit ; lucre ; profit ; profits ; earnings 	 прибыль ; нажива 	 business 
 nether ; under 	 нижний 	 adjective 
 never 	 никогда 	 adverb 
 new 	 новый 	 adjective 
 news ; intelligence ; tidings ; word 	 новость 	 society 
 newspaper ; paper 	 газета 	 object 
 nice 	 красивый ; хороший 	 adjective 
 night ; nighttime ; dark 	 ночь 	 nature 
 nine ; 9 ; ix 	 девять 	 number 
 nineteen ; 19 ; xix 	 девятнадцать 	 number 
 ninety ; 90 ; xc 	 девяносто 	 number 
 ninth ; 9th 	 девятый 	 number 
 no 	 нет 	 abstract 
 no 	 никакой ; никто 	 adjective 
 noise ; dissonance ; racket 	 шум ; гам 	 society 
 nor 	 не 	 conjunction 
 normal 	 нормальный 	 adjective 
 normally ; usually ; unremarkably ; commonly ; ordinarily 	 обычно 	 adverb 
 north 	 северный 	 adjective 
 north ; due north ; northward ; N 	 север 	 logistics 
 nose ; olfactory organ 	 нос 	 anatomy 
 not ; non 	 нет 	 adverb 
 note ; annotation ; notation 	 заметка 	 communication 
 note ; musical note ; tone 	 нота 	 art 
 nothing ; nil ; nix ; nada ; null ; aught ; cipher ; cypher ; goose egg ; naught ; zero ; zilch ; zip ; zippo 	 нуль ; ничто ; ничего 	 mathematics 
 now 	 сейчас 	 time 
 now ; at present 	 теперь ; сейчас 	 adverb 
 number 	 высчитать 	 verb 
 number 	 количество ; число 	 linguistics 
 nurse 	 медсестра ; няня 	 profession 
 nut 	 гайка 	 object 
 nut 	 орех 	 food 
 obtain 	 получать 	 verb 
 obviously ; evidently ; manifestly ; patently ; apparently ; plainly ; plain 	 очевидно 	 adverb 
 occupation ; business ; job ; line of work ; line 	 профессия ; работа 	 business 
 of 	 о 	 preposition 
 off 	 выключенный 	 adjective 
 offer 	 предложить 	 verb 
 offer ; offering 	 предложение 	 abstract 
 office ; business office 	 офис ; контора ; канцелярия 	 business 
 officeholder ; officer 	 чиновник 	 profession 
 oil 	 масло 	 material 
 old 	 старый 	 adjective 
 olfactory property ; smell ; aroma ; odor ; odour ; scent 	 запах 	 nature 
 on 	 включённый 	 adjective 
 once ; one time ; in one case 	 раз 	 adverb 
 one ; 1 ; i ; ane 	 один 	 number 
 one-half ; half 	 половина 	 mathematics 
 open ; open up 	 открыть 	 verb 
 open ; opened 	 открытый 	 adjective 
 open ; unfastened 	 открытый 	 adjective 
 open fire ; fire 	 стрелять 	 verb 
 operate ; control 	 управлять 	 verb 
 operation 	 операция 	 abstract 
 operation ; functioning ; performance 	 действие 	 mathematics 
 operation ; surgery ; surgical operation ; surgical procedure ; surgical process 	 операция 	 medicine 
 opinion ; sentiment ; persuasion ; view ; thought 	 мнение ; суждение 	 communication 
 opportunity ; chance 	 возможность 	 abstract 
 opposite 	 противоположный 	 adjective 
 option ; alternative ; choice 	 альтернатива 	 abstract 
 or 	 или 	 conjunction 
 orange 	 апельсин 	 food 
 orange ; orangish 	 оранжевый 	 color 
 orchestra 	 оркестр 	 art 
 order 	 порядок 	 linguistics 
 order 	 приказ ; команда 	 society 
 order ; monastic order 	 орден 	 society 
 order ; tell ; enjoin ; say 	 приказать 	 verb 
 organization ; organisation 	 организация 	 society 
 original 	 исходный ; оригинальный 	 adjective 
 other 	 другой 	 adjective 
 our 	 наш 	 pronoun 
 outburst ; burst ; flare-up 	 извержение 	 abstract 
 outside 	 снаружи 	 adverb 
 outside ; exterior 	 наружность ; внешность 	 mathematics 
 oven 	 печь 	 device 
 own ; ain 	 свой 	 adjective 
 own ; have ; possess 	 владеть 	 verb 
 owner ; possessor 	 собственник ; владелец ; обладатель 	 business 
 package ; bundle ; packet ; parcel 	 пакет 	 object 
 page 	 страница 	 object 
 pain ; hurting 	 боль 	 medicine 
 paint ; pigment 	 краска 	 art 
 painting ; picture 	 картина 	 art 
 paper 	 бумага 	 material 
 parallel 	 параллельный 	 adjective 
 parent 	 родитель 	 family 
 park ; commons ; common ; green 	 парк ; сад 	 city 
 part ; portion ; component part ; component ; constituent 	 часть 	 abstract 
 part ; section ; division 	 секция ; отделение 	 mathematics 
 particular 	 определённый 	 adjective 
 particularly ; peculiarly ; especially ; specially 	 особенно 	 adverb 
 party 	 вечеринка 	 society 
 pass ; hand ; reach ; pass on ; turn over ; give 	 передавать 	 verb 
 pass ; laissez passer 	 удоствоверение 	 object 
 passenger ; rider 	 пассажир 	 transport 
 passport 	 паспорт 	 object 
 past 	 прошлый 	 adjective 
 past ; past times ; yesteryear 	 прошлое 	 time 
 patient 	 пациент ; больной 	 medicine 
 patient 	 терпеливый 	 adjective 
 pause ; intermission ; break ; interruption ; suspension 	 перерыв ; пауза 	 time 
 pay 	 платить 	 verb 
 payment 	 плата ; платёж ; уплата 	 business 
 peace 	 мир 	 abstract 
 pen 	 ручка 	 object 
 pencil 	 карандаш 	 object 
 people 	 люди ; народ 	 society 
 percentage ; percent ; per centum ; pct 	 процент 	 mathematics 
 person ; individual ; someone ; somebody ; mortal ; soul 	 лицо ; человек 	 family 
 personal 	 личный 	 adjective 
 personality 	 характер 	 abstract 
 petroleum ; crude oil ; crude ; rock oil ; fossil oil ; oil 	 нефть 	 material 
 phase ; stage 	 фаза 	 time 
 photographer ; lensman 	 фотограф 	 profession 
 physical 	 телесный ; физический 	 adjective 
 physical 	 физический 	 adjective 
 picture ; image ; icon ; ikon 	 изображение 	 art 
 piece 	 кусок 	 object 
 pilot ; airplane pilot 	 пилот 	 profession 
 pin 	 булавка 	 object 
 pink ; pinkish 	 розоватый ; розовый 	 color 
 pipe ; pipage ; piping 	 труба 	 object 
 pivot ; pin 	 цапфа 	 object 
 plain ; field ; champaign 	 равнина 	 nature 
 plan 	 наметить 	 verb 
 plan ; program ; programme 	 план 	 abstract 
 plant ; flora ; plant life 	 растение 	 house 
 plant ; works ; industrial plant 	 завод ; фабрика 	 city 
 plate 	 тарелка 	 food 
 play 	 играть 	 verb 
 player ; participant 	 игрок 	 sports 
 please 	 пожалуйста 	 adverb 
 please ; delight 	 обрадовать 	 verb 
 pleasure ; pleasance 	 удовольствие 	 abstract 
 plow ; plough ; turn 	 пахать 	 verb 
 poem ; verse form 	 стихотворение ; поэма 	 art 
 poetry ; poesy ; verse 	 поэзия 	 art 
 point ; dot 	 точка 	 linguistics 
 poison 	 отравить 	 verb 
 poison ; toxicant ; poisonous substance 	 яд ; отрава 	 material 
 police ; police force ; constabulary ; law 	 полиция 	 society 
 policeman ; police officer ; officer 	 милиционер 	 profession 
 policy 	 политика 	 society 
 polish ; smooth ; smoothen ; shine 	 глянцевать 	 verb 
 political 	 политический 	 adjective 
 politician ; politico ; pol ; political leader 	 политик 	 profession 
 poor 	 бедный 	 adjective 
 populace ; public ; world 	 общественность 	 society 
 popular 	 популярный 	 adjective 
 popular ; pop 	 популярный 	 adjective 
 population 	 население 	 society 
 position ; place 	 позиция ; положение 	 linguistics 
 possible 	 возможный 	 adjective 
 possibly ; perchance ; perhaps ; maybe ; mayhap ; peradventure 	 может быть 	 adverb 
 postage ; postage stamp ; stamp 	 почтовая марка 	 object 
 potato ; white potato ; Irish potato ; murphy ; spud ; tater 	 картофелина 	 food 
 potent ; strong ; stiff 	 крепкий 	 adjective 
 powder ; pulverization ; pulverisation 	 порошок 	 material 
 power ; powerfulness 	 сила 	 abstract 
 practice 	 практика 	 art 
 practice ; practise ; exercise ; do 	 проводить ; практиковать 	 verb 
 precisely ; exactly ; just 	 точно 	 adverb 
 preferably ; sooner ; rather 	 лучше 	 adverb 
 present 	 подарок 	 object 
 present 	 современный ; настойащий 	 adjective 
 present ; nowadays 	 настоящее 	 time 
 president 	 президент 	 profession 
 press 	 сжать ; нажать 	 verb 
 pressure ; pressure level ; force per unit area 	 давление 	 nature 
 prevent ; forestall ; foreclose ; preclude ; forbid 	 предотвратить 	 verb 
 previous ; old 	 предыдущий 	 adjective 
 price 	 оценить 	 verb 
 price 	 оценка 	 transport 
 price ; cost ; toll 	 стоимость ; цена 	 business 
 price ; terms ; damage 	 цена 	 transport 
 principle ; rule 	 правило 	 linguistics 
 print ; impress 	 напечатать 	 verb 
 prison ; prison house 	 тюрьма ; заточение 	 city 
 private 	 скромный 	 adjective 
 probable ; likely 	 вероятный 	 adjective 
 probably ; likely ; in all likelihood ; in all probability ; belike 	 вероятно 	 adverb 
 problem ; job 	 проблема 	 mathematics 
 procedure ; process 	 процесс ; процедура 	 mathematics 
 process ; physical process 	 процесс 	 nature 
 process ; treat 	 выработать 	 verb 
 produce ; make ; create 	 изготовить 	 verb 
 product ; production 	 продукт 	 object 
 production 	 производство 	 abstract 
 professional 	 профессиональный 	 adjective 
 professional ; professional person 	 профессионал 	 profession 
 profit ; turn a profit 	 нажива ; получать доход 	 verb 
 program ; programme ; computer program ; computer programme 	 программа 	 abstract 
 project ; projection 	 проект 	 abstract 
 promise ; hope 	 надежда 	 relations 
 pronunciation 	 произношение 	 linguistics 
 property 	 способность 	 abstract 
 property ; belongings ; holding 	 имущество 	 society 
 proposal 	 предложение 	 abstract 
 propose ; suggest ; advise 	 предложить 	 verb 
 protest 	 возражать ; протестовать 	 verb 
 protest ; protestation 	 протест 	 communication 
 prototype ; paradigm ; epitome ; image 	 образец 	 linguistics 
 public 	 общественный 	 travelling 
 publish ; bring out ; put out ; issue ; release 	 издать 	 verb 
 pull ; draw ; force 	 тянуть 	 verb 
 pump 	 качать 	 verb 
 pump 	 насос 	 device 
 punishment ; penalty ; penalization ; penalisation 	 наказание 	 society 
 purple ; violet ; purplish 	 фиолетовый ; тёмно-лиловый 	 color 
 push ; force 	 толкнуть 	 verb 
 push button ; push ; button 	 кнопка 	 object 
 put ; set ; place ; pose ; position ; lay 	 класть 	 verb 
 quality 	 качество 	 abstract 
 quality ; character ; lineament 	 качество 	 abstract 
 question ; inquiry ; enquiry ; query ; interrogation 	 вопрос 	 linguistics 
 quickly ; rapidly ; speedily ; chop-chop ; apace 	 быстро 	 adverb 
 quiet 	 тихий 	 adjective 
 quite ; rather 	 довольно 	 adverb 
 rain ; pelting 	 дождь 	 nature 
 rain ; rain down 	 дождить ; идёт дождь 	 verb 
 rain ; rainfall 	 дождь 	 nature 
 raise ; lift ; elevate ; get up ; bring up 	 поднять 	 verb 
 range ; reach 	 досягаемость 	 abstract 
 rate ; charge per unit 	 расценка ; тариф 	 business 
 rate ; rank ; range ; order ; grade ; place 	 оценивать 	 verb 
 reach ; make ; attain ; hit ; arrive at ; gain 	 достичь 	 verb 
 reaction 	 реакция 	 abstract 
 read 	 читать 	 verb 
 ready 	 готовый ; приготовленный 	 adjective 
 real ; existent 	 действительный 	 adjective 
 rear ; raise ; bring up ; nurture ; parent 	 воспитать 	 verb 
 reason 	 причина 	 communication 
 reason 	 рассуждать 	 verb 
 reason ; ground 	 основание ; мотив 	 communication 
 receive ; have 	 получить 	 verb 
 recent 	 недавний 	 adjective 
 recently ; late ; lately ; of late ; latterly 	 недавно 	 adverb 
 record 	 рекорд 	 abstract 
 record ; tape 	 записать 	 verb 
 red ; reddish ; ruddy ; blood-red ; carmine ; cerise ; cherry ; cherry-red ; crimson ; ruby ; ruby-red ; scarlet 	 красный 	 color 
 reduce ; cut down ; cut back ; trim ; trim down ; trim back ; cut ; bring down 	 сократить 	 verb 
 reflect ; reverberate 	 отражать 	 verb 
 refuse ; reject ; pass up ; turn down ; decline 	 отказаться 	 verb 
 region ; part 	 район 	 nature 
 regular 	 регулярный 	 adjective 
 relation 	 соотношение 	 communication 
 relationship ; human relationship 	 родство 	 society 
 religion ; faith ; organized religion 	 религия 	 society 
 religion ; faith ; religious belief 	 вероисповедание 	 society 
 remainder ; balance ; residual ; residue ; residuum ; rest 	 остаток 	 business 
 remember ; retrieve ; recall ; call back ; call up ; recollect ; think 	 помнить 	 verb 
 remove ; take ; take away ; withdraw 	 убрать 	 verb 
 render ; return 	 вернуть 	 verb 
 report 	 сообщать 	 verb 
 report ; study ; written report 	 рапорт 	 abstract 
 repose ; quiet ; placidity ; serenity ; tranquillity ; tranquility 	 спокойствие 	 abstract 
 represent ; stand for ; correspond 	 символизировать 	 verb 
 representative 	 заместитель 	 profession 
 request ; asking 	 просьба 	 communication 
 request ; bespeak ; call for ; quest 	 просить 	 verb 
 research 	 исследование 	 abstract 
 research 	 исследовать 	 verb 
 respect ; honor ; honour ; abide by ; observe 	 учитывать 	 verb 
 respite ; recess ; break ; time out 	 пауза ; перерыв 	 abstract 
 responsibility ; responsibleness 	 ответственность 	 abstract 
 responsible 	 ответственный 	 adjective 
 rest 	 отдыхать 	 verb 
 rest ; ease ; repose ; relaxation 	 отдых 	 abstract 
 restaurant ; eating house ; eating place ; eatery 	 ресторан 	 city 
 restrict ; restrain ; trammel ; limit ; bound ; confine ; throttle 	 ограничивать 	 verb 
 result ; resultant ; final result ; outcome ; termination 	 результат 	 mathematics 
 return ; homecoming 	 возврат 	 abstract 
 reverse ; contrary ; opposite 	 противоположность 	 abstract 
 rhythm ; beat ; musical rhythm 	 ритм 	 art 
 rice 	 рис 	 food 
 rice 	 рис 	 food 
 right 	 правильный 	 adjective 
 right 	 право 	 society 
 right 	 правый 	 adjective 
 right 	 сейчас 	 adverb 
 right 	 точно 	 adverb 
 rigid ; stiff 	 жёсткий ; негнущийся 	 adjective 
 ring ; band 	 кольцо 	 clothes 
 rise ; rising ; ascent ; ascension 	 подъём 	 abstract 
 rival ; challenger ; competitor ; competition ; contender 	 соперник 	 business 
 river 	 река 	 nature 
 road ; route 	 дорога ; путь 	 transport 
 rock ; stone 	 скала 	 nature 
 roof 	 крыша 	 house 
 room 	 комната 	 house 
 root 	 корень 	 mathematics 
 root 	 корень 	 nature 
 rope 	 канат 	 transport 
 rough ; unsmooth 	 грубый 	 adjective 
 round ; circular 	 круглый 	 adjective 
 round off ; round down ; round out ; round 	 округлять(ся) 	 verb 
 rug ; carpet ; carpeting 	 ковёр 	 house 
 rule ; regulation 	 правило ; предписание 	 linguistics 
 run 	 бежать 	 verb 
 sad 	 печальный 	 adjective 
 safe 	 обеспеченный 	 adjective 
 safe 	 сейф 	 object 
 sail ; canvas ; canvass ; sheet 	 парус 	 object 
 sailor ; crewman 	 матрос ; моряк 	 profession 
 salad 	 салат 	 food 
 sale 	 продажа ; сбыт 	 business 
 salt 	 солить 	 verb 
 salt ; table salt ; common salt 	 соль 	 food 
 salvage ; salve ; relieve ; save 	 спасти 	 verb 
 same 	 одинаковый 	 adjective 
 sand 	 песок 	 material 
 sandwich 	 сандвич ; бутерброд 	 food 
 sauce 	 соус 	 food 
 save ; preserve 	 копить 	 verb 
 school 	 школа 	 city 
 school ; schoolhouse 	 школа 	 city 
 science ; scientific discipline 	 наука 	 society 
 scientist 	 учёный 	 profession 
 scissors ; pair of scissors 	 ножницы 	 object 
 scope ; range ; reach ; orbit ; compass ; ambit 	 диапазон 	 abstract 
 screen ; cover ; covert ; concealment 	 крышка 	 object 
 screw 	 привинтить 	 verb 
 sea 	 море 	 nature 
 season 	 времена года 	 nature 
 season ; flavor ; flavour 	 приправить 	 verb 
 seat 	 кресло 	 house 
 seat ; place 	 место 	 abstract 
 second ; 2nd ; 2d 	 второй 	 adjective 
 second ; sec ; s 	 секунда 	 time 
 secondhand ; used 	 подержанный 	 adjective 
 secret 	 секрет ; тайна 	 communication 
 secretary ; secretarial assistant 	 секретарь ; секретарша 	 profession 
 section ; subdivision 	 секция ; участок 	 mathematics 
 see 	 видеть 	 verb 
 see ; consider ; reckon ; view ; regard 	 считать 	 verb 
 seed 	 зерно ; семя 	 food 
 sell 	 продать 	 verb 
 sentence 	 предложение 	 linguistics 
 separate 	 отдельный 	 adjective 
 serial ; series 	 сериал ; многосерийный фильм 	 abstract 
 serious 	 серьёзный 	 adjective 
 servant ; retainer 	 слуга 	 profession 
 serve 	 служить 	 verb 
 service 	 услуга 	 sports 
 set 	 комплект 	 sports 
 set 	 множество 	 mathematics 
 seven ; 7 ; vii 	 семь 	 number 
 seventeen ; 17 ; xvii 	 семнадцать 	 number 
 seventh ; 7th 	 седьмой 	 number 
 seventy ; 70 ; lxx 	 семьдесят 	 number 
 several 	 несколько 	 adjective 
 sew ; run up ; sew together ; stitch 	 шить 	 verb 
 sex 	 пол 	 nature 
 sexual activity ; sexual practice ; sex ; sex activity 	 секс 	 relations 
 share 	 акция 	 business 
 share 	 разделять 	 verb 
 share ; portion ; part ; percentage 	 часть 	 society 
 she 	 она 	 pronoun 
 sheep 	 овца 	 animal 
 shelf 	 полка 	 house 
 ship 	 судно ; корабль 	 transport 
 shirt 	 рубашка 	 clothes 
 shock ; offend ; scandalize ; scandalise ; appal ; appall ; outrage 	 шокировать 	 verb 
 shoe 	 ботинок 	 clothes 
 shop ; store 	 лавка ; магазин 	 business 
 short 	 короткий 	 adjective 
 shout ; shout out ; cry ; call ; yell ; scream ; holler ; hollo ; squall 	 кричать 	 verb 
 show 	 шоу 	 abstract 
 show ; demo ; exhibit ; present ; demonstrate 	 показать 	 verb 
 shower 	 душ 	 house 
 shroud ; enshroud ; hide ; cover 	 закрыть 	 verb 
 shut ; unopen ; closed 	 закрытый 	 adjective 
 side 	 сторона 	 mathematics 
 sign 	 знак 	 linguistics 
 significant ; important 	 важный 	 adjective 
 silence ; quiet 	 тишина 	 abstract 
 silent ; soundless ; still 	 тихий 	 adjective 
 silk 	 шёлк ; шелк 	 material 
 silver 	 серебряный 	 adjective 
 silver ; Ag ; atomic number 47 	 серебро 	 material 
 similar 	 подобный 	 adjective 
 since 	 с 	 preposition 
 sincere 	 искренний 	 adjective 
 sing 	 петь 	 verb 
 singer ; vocalist ; vocalizer ; vocaliser 	 певец 	 profession 
 single 	 единственный 	 adjective 
 sink 	 лохань 	 house 
 sister ; sis 	 сестра 	 family 
 sit ; sit down 	 сидеть 	 verb 
 situation ; state of affairs 	 ситуация 	 abstract 
 six ; 6 ; vi ; half dozen ; half-dozen 	 шесть 	 number 
 sixteen ; 16 ; xvi 	 шестнадцать 	 number 
 sixth ; 6th 	 шестой 	 number 
 sixty ; 60 ; lx ; threescore 	 шестьдесят 	 number 
 size 	 размер 	 physics 
 skid ; slip ; sideslip 	 буксовка 	 abstract 
 skill ; science 	 искусство 	 sports 
 skin ; peel ; pare 	 чистить 	 verb 
 skin ; tegument ; cutis 	 кожа 	 anatomy 
 skirt 	 юбка 	 clothes 
 sky 	 небо 	 nature 
 sleep ; slumber 	 сон 	 nature 
 slice ; piece 	 кусок 	 abstract 
 slow 	 медленный 	 adjective 
 slowly ; slow ; easy ; tardily 	 медленно 	 adverb 
 small ; little 	 маленький 	 adjective 
 smash ; nail ; boom ; blast 	 ударить 	 verb 
 smell 	 вонять 	 verb 
 smell 	 пахнуть 	 verb 
 smell 	 чуять 	 verb 
 smile 	 улыбаться 	 verb 
 smile ; smiling ; grin ; grinning 	 улыбка 	 abstract 
 smoke 	 курить 	 verb 
 smoke ; fume 	 дым 	 nature 
 smooth 	 гладкий 	 adjective 
 snake ; serpent ; ophidian 	 змея 	 animal 
 snog ; kiss ; buss ; osculate 	 целовать 	 verb 
 snow 	 идёт снег 	 verb 
 snow 	 снег 	 nature 
 snow ; snowfall 	 снег 	 nature 
 so 	 так ; таким образом 	 adverb 
 soap 	 мыло 	 material 
 soap ; lather 	 намылить 	 verb 
 social 	 общественный 	 adjective 
 society 	 общество 	 society 
 sock 	 носок ; гольфы = чулки до колен 	 clothes 
 soft 	 мягкий 	 adjective 
 soldier 	 солдат 	 profession 
 solid 	 жёсткий 	 adjective 
 sometimes 	 иногда 	 adverb 
 son ; boy 	 сын 	 family 
 song ; vocal 	 песня 	 art 
 soon ; shortly ; presently ; before long 	 скоро 	 adverb 
 sound 	 звук 	 nature 
 soup 	 суп 	 food 
 south 	 южный 	 adjective 
 south ; due south ; southward ; S 	 юг 	 logistics 
 space ; infinite 	 космос 	 mathematics 
 sparse ; thin 	 редкий 	 adjective 
 specific 	 специфический 	 adjective 
 speech ; speech communication ; spoken communication ; spoken language ; language ; voice communication ; oral communication 	 язык 	 linguistics 
 spelling 	 правописание ; орфография 	 linguistics 
 spend ; pass 	 проходить 	 verb 
 spill ; tumble ; fall 	 падение 	 abstract 
 spoon 	 ложка 	 food 
 spring 	 пружина 	 object 
 spring ; fountain ; outflow ; outpouring ; natural spring 	 источник 	 nature 
 spring ; springtime 	 весна 	 nature 
 square 	 квадратный 	 adjective 
 square ; foursquare 	 квадрат 	 mathematics 
 square ; second power 	 вторая степень 	 mathematics 
 squash ; crush ; squelch ; mash ; squeeze 	 смять 	 verb 
 staff 	 персонал 	 society 
 stage 	 сцена 	 object 
 stalk ; stem 	 стебель 	 nature 
 stamp 	 печать ;штемпель 	 object 
 stand ; stand up 	 стоять 	 verb 
 standard 	 стандартный 	 adjective 
 standard ; criterion ; measure ; touchstone 	 критерий 	 communication 
 star 	 звезда 	 nature 
 state 	 состояние 	 mathematics 
 state 	 страна 	 society 
 state ; province 	 страна ; государство 	 society 
 state ; say ; tell 	 говорить 	 verb 
 statement 	 утверждения 	 communication 
 station 	 станция 	 society 
 stay ; remain ; rest 	 остаться 	 verb 
 steal 	 красть ; воровать 	 verb 
 steam 	 пар 	 physics 
 steel 	 сталь 	 material 
 step ; stair 	 ступень 	 house 
 stick 	 палка 	 object 
 still 	 постоянно 	 adverb 
 stitch 	 стежок 	 medicine 
 stomach ; tummy ; tum ; breadbasket 	 желудок 	 anatomy 
 stop ; halt 	 останавить 	 verb 
 stop ; halt 	 остановить 	 abstract 
 straight 	 прямой 	 adjective 
 strange ; unusual 	 странный 	 adjective 
 stream ; flow ; current 	 поток 	 nature 
 street 	 улица 	 city 
 stretch 	 участок ; область ; район 	 art 
 strong 	 сильный 	 adjective 
 structure 	 структура 	 linguistics 
 structure ; construction 	 стройка 	 house 
 student ; pupil ; educatee 	 студент ; ученик 	 profession 
 study 	 изучать 	 verb 
 stupid 	 глупый 	 adjective 
 style 	 стиль 	 art 
 stylish ; fashionable 	 элегантный 	 adjective 
 subject ; dependent 	 подчиненный 	 adjective 
 subject ; topic ; theme 	 сюжет ; тема 	 linguistics 
 subsequently ; later ; afterwards ; afterward ; after ; later on 	 потом 	 adverb 
 substitution ; exchange ; commutation 	 замена 	 abstract 
 success 	 успех 	 society 
 successful 	 успешный 	 adjective 
 such 	 такой 	 adverb 
 sudden 	 неожиданный 	 adjective 
 suddenly ; all of a sudden ; of a sudden 	 вдруг 	 adverb 
 suffer ; endure 	 терпеть 	 verb 
 sugar ; refined sugar 	 сахар 	 food 
 sugar ; saccharify 	 насахарить ; положить сахару 	 verb 
 suggestion ; proposition ; proffer 	 проект 	 abstract 
 sum ; amount ; total 	 итог ; сумма 	 mathematics 
 summation ; addition ; plus 	 сложение 	 mathematics 
 summer ; summertime 	 лето 	 nature 
 sun ; Sun 	 солнце 	 nature 
 supermarket 	 супермаркет ; универсам 	 city 
 supplant ; replace ; supersede ; supervene upon ; supercede 	 заменить 	 verb 
 supply ; provide ; render ; furnish 	 предоставить 	 verb 
 support 	 поддержка ; опора 	 abstract 
 support ; back up 	 поддерживать 	 verb 
 suppose ; say 	 предполагать 	 verb 
 surely ; certainly ; sure ; for sure ; for certain ; sure enough ; sure as shooting 	 непременно 	 adverb 
 surface 	 поверхность 	 mathematics 
 surprise 	 сюрприз 	 abstract 
 surprise 	 удивить 	 verb 
 surrender ; give up 	 поддаться 	 verb 
 survive ; last ; live ; live on ; go ; endure ; hold up ; hold out 	 обойтись 	 verb 
 sweet 	 сладкое 	 adjective 
 sweet ; sweetness ; sugariness 	 сладость 	 food 
 swim 	 плавать 	 verb 
 sympathize ; sympathise ; empathize ; empathise ; understand 	 понимать 	 verb 
 system ; scheme 	 система 	 linguistics 
 table 	 стол 	 house 
 table ; tabular array 	 таблица 	 object 
 tail 	 хвост 	 anatomy 
 take ; get hold of 	 взять ; брать 	 verb 
 talk ; speak ; utter ; mouth ; verbalize ; verbalise 	 говорить 	 verb 
 tall 	 высокий 	 adjective 
 taste ; gustation ; sense of taste ; gustatory modality 	 вкус 	 nature 
 taste ; savor ; savour 	 poпробовать 	 verb 
 tax ; taxation ; revenue enhancement 	 налогообложение ; налог 	 business 
 tea 	 чай 	 food 
 teach ; learn ; instruct 	 обучать 	 verb 
 teacher ; instructor 	 учитель 	 profession 
 team ; squad 	 команда 	 society 
 technology ; engineering 	 технология 	 society 
 television camera ; tv camera ; camera 	 камера 	 object 
 television receiver ; television ; television set ; tv ; tv set ; idiot box ; boob tube ; telly ; goggle box 	 телевизор 	 device 
 ten ; 10 ; x 	 десять 	 number 
 tend ; be given ; lean ; incline ; run 	 иметь наклонность 	 verb 
 tendency ; trend 	 тенденция 	 abstract 
 tennis ; lawn tennis 	 теннис 	 sports 
 tenth ; 10th 	 десятый 	 number 
 test ; prove ; try ; try out ; examine ; essay 	 испытать 	 verb 
 testify ; bear witness ; prove ; evidence ; show 	 доказать 	 verb 
 than 	 чем 	 conjunction 
 thank ; give thanks 	 благодарить 	 verb 
 that 	 тот 	 pronoun 
 the 	 ''not used'' 	 article 
 theater ; theatre ; house 	 театр 	 city 
 their 	 их 	 pronoun 
 them 	 их 	 pronoun 
 then ; so ; and so ; and then 	 потом ; после 	 adverb 
 theory 	 теория 	 education 
 there ; at that place ; in that location 	 там 	 adverb 
 therefore ; hence ; thence ; thus ; so 	 поэтому 	 adverb 
 these 	 эти 	 pronoun 
 they 	 они 	 pronoun 
 thick 	 густой 	 adjective 
 thick 	 толстый 	 adjective 
