-ible	-аемый
jaundice	желтуха
jay	сойка
jazz	джаз
jelly	джем
jelly	желе
jellyfish	медуза
jerk off	дрочить
jetty	мол
jihad	джихад
joint	сустав
joke	анекдот
joke	шутка
joke	шутить
joule	джоуль
journalism	Журналистика
joy	радость
joystick	джойстик
judge	судья
judge	судить
judo	дзюдо
juice	сок
juniper	можжевельник
junk food	неполноценный
kangaroo	кенгуру
kestrel	пустельга обыкновенная
kestrel	cоколы
key	ключ
key	клавиша
key	тональность
keyboard	клавиатура
khagan	каган
kick the bucket	сыграть в ящик
kidney	почка
kill	убивать
kill two birds with one stone	убить одним выстрелом двух зайцев
killer whale	косатка
kilogram	килограмм
kilometer	километр
kilometre	километр
kind	добрый
kindergarten	детский сад
king	король
kingdom	королевство
kingdom	царство
kingfisher	зимородок
kiss	целовать
kiss	поцелуй
kiss	целоваться
kitchen	кухня
kite	воздушный змей
kite	коршун
kitten	котёнок
kitty	кошка
kiwi	киви
kiwi fruit	киви
knee	колено
knife	нож
knight	рыцарь
knight	конь
knot	узел
know	знать
know	уметь
knowledge	ведение
knuckle	сустав
koala	коала
krypton	криптон
kyanite	кианит
lac	лак
lacrosse	лакросс
lady	госпожа
ladybird	божья коровка
ladybug	божья коровка
lahar	лахар
lake	озеро
lake	лак
lamb	ягнёнок
lamb	ягнятина
land	земля
land	приземляться
language	sc=Cyrl
language	язык
lantern	фонарь
lanthanum	лантан
laptop	ноутбук
larch	лиственница
large	большой
lark	жаворонок
larva	личинка
larynx	гортань
last	последний
last night	прошлый
last year	прошлый год
late	поздно
lathe	токарный станок
lather	мыльная пена
lather	мылить
lattice	решётка
laugh	смеяться
laugh	смех
laughter	смех
laurel	лавр
lavender	лаванда
law	закон
law	право
lawrencium	лоуренсий
lawyer	юрист
lazy	ленивый
lead	свинец
lead	водить
lead	руководить
lead/experiment	свинец
lead/experiment	??????
lead/experiment2	свинец
lead/experiment2	??????
leaf	лист
leap	скакать
leap	скачок
leap year	високосный год
leash	поводок
least weasel	ласка
leather	кожа
leave	уходить
leave	оставлять
leech	пиявка
left	левый
left	оставаться
leg	нога
legible	разборчивый
lemon	лимон
lemon balm	Лимонник
lemur	лемур
length	длина
leopard	леопард
lesser spotted woodpecker	далый дятел
lesson	урок
let's go	айда
let's go	пошёл
letter	письмо
letter	буква
lettuce	салат
levitation	левитация
lexeme	лексема
lexicography	лексикография
liar	лгун
library	библиотека
lichen	лишайник
lick	лизать
lid	крышка
lie	лгать
lie	ложь
lieutenant	лейтенант
life	жизнь
life	пожизненный срок
light	свет
light	зажигать
light	освещать
light	лёгкий
light	бледный
light	светлый
light year	световой год
lighter	зажигалка
lighthouse	маяк
lightning	молния
like	как
like	нравиться
like father, like son	Яблочко от яблоньки недалеко падает
lilac	сирень
lily of the valley	ландыш
lime	известь
lime	липа
limestone	известняк
line	линия
linear algebra	лине́йная а́лгебра
linen	полотно
linguistics	языкознание
link	звено
link	связь
link	гиперссылка
lion	лев
lioness	львица
lip	губа
lipstick	губная помада
liqueur	ликёр
liquid	жидкость
liquid	жидкий
listen	слушать
listen	слышать
literature	литература
lithium	литий
litre	литр
little finger	мизинец
little owl	домовый
liturgy	литургия
live	жить
live	выживать
liver	печень
livestock	поголовье
living room	гостиная
lizard	ящерица
llama	лама
lobster	омар
locative	местный падеж
locative case	местный падеж
lock	замок
locust	саранчук
loess	лёсс
log	бревно
lol	lol, лол
long	длинный
long-eared owl	ушастая сова
look	внешность
lord	лорд
lord	господин
lose	пoтeрять
lose	проиграть
lotus	лотос
louse	вошь
louse	гнида
love	любовь
love	любить
love	любимый
love	нуль
love triangle	любовный треугольник
lover	любовник
low	низкий
luck	удача
luckily	к
lucky	удачливый
lucky	счастливый
lukewarm	тепловатый
lukewarm	прохладный
lullaby	колыбельная
lumpsucker	пинагор
lunch	обед
lunch	обедать
lung	лёгкое
lute	лютня
lutetium	лютеций
lynx	рысь
lysine	лизин
mace	булава
machete	мачете
machine	машина
machine gun	пулемёт
machine translation	машинный перевод
mackerel	скумбрия
macroeconomics	Макроэкономика
magazine	журнал
magazine	магазин
magazine	склад боеприпасов
magic wand	волшебная палочка
magnesium	магний
magnet	магнит
magnetic	магнитный
magnetism	магнетизм
magpie	сорока
main	главный
maize	кукуруза
make a mountain out of a molehill	делать из мухи слона
malaria	малярия
male	самец
mallard	обыкновенная кряква
mammal	млекопитающее
mammoth	мамонт
man	мужчина
man	человек
man	фигура
mandarin	мандарин
mandarin orange	мандарин
mandrake	мандрагора
mane	грива
manganese	марганец
mango	манго
manual	инструкция
manual	ручной
many	много
many thanks	большое спасибо
map	карта
maple	клён
march	марш
march	маршировать
march	ход
mare	кобыла
marijuana	марихуана
marionette	марионетка
mark	марка
market	рынок
marmot	сурок
marrow	sc=Cyrl
marten	куница
martyr	мученик
masculine	мужской
massacre	массовое убийство
mastiff	дог
maternal death	смерть стельности
mathematics	математика
mattress	матрац
mature	зрeлый
maybe	может быть
mayonnaise	майонез
mayor	мэр
me	меня
me	я
me too	я тоже
mead	мёд
meadow	луг
meal	еда
meal	мука
mean	значить
mean	средний
mean	иметь в виду
mean	злой
mechanic	механик
mechanics	Механика
medicine	лекарство
medicine	медицина
meditation	раздумье
meitnerium	мейтнерий
melancholy	меланхоличный
melancholy	меланхолия
melon	дыня
melt	таять
member	член
memory	память
memory	воспоминание
men	мужская
mendelevium	менделевий
menorah	менора
menstruation	менструальный цикл
menu	меню
meow	мяукание
meow	мяукать
meow	мяу
merchant	торговец
mercury	ртуть
mermaid	русалка
messenger	посыльный
metal	металл
metal	металлический
metastasis	метастаз
meter	метр
meter	счётчик
metre	метр
metrosexual	метросексуал
micro-	микро-
microwave oven	микроволновая печь
midbrain	средний мозг
middle finger	средний палец
midnight	полночь
midwife	акушер
mild	слабый
milk	молоко
milk	доить
milkmaid	доярка
millennium	тысячелетие
millet	пшено
milliard	миллиард
millimetre	миллиметр
million	миллион
millionaire	миллионер
millisecond	миллисекунда
minaret	минарет
mind	ум
mine	шахта
mine	мина
mine	мой
miner	шахтёр
mineralogy	минералогия
minion	верный слуга
minister	министр
mink	норка
mint	монетный двор
mint	мята
minuet	менуэт
minus	минус
minute	минута
minute	протокол
mirage	мираж
misfortune	несчастье
miss	не
missile	ракета
mission	миссия
mistake	ошибка
mistake	неправильно
mister	гражданин
mistletoe	омела
misunderstand	неправильно
mitochondrion	митохондрия
mix	смешивать
moa	Моа
mobile	мобильный
mobile phone	мобильный телефон
model	модель
modern	современный
moist	влажный
moisture	влажность
molar	коренной зуб
molasses	меласса
mole	крот
mole	родинка
molecule	молекула
molybdenum	молибден
moment	момент
monastery	монастырь
money	деньги
money	наличные
mongoose	мангуст
monitor	монитор
monkey	обезьяна
monopoly	монополия
monotheism	монотеизм
monsoon	муссон
monster	чудовище
month	месяц
monthly	месячно
mood	настроение
mood	наклонение
moon	спутник
moon	месяц
moon	луна
moose	лось
morality	этика
moreover	кроме того
morning	утро
morpheme	морфема
mortal	смертный
mortality	смертность
mortar	ступа
mortar	известковый раствор
mortgage	ипотека
mosque	мечеть
mosquito	москит
moss	мох
most	большинство
moth	моль
mother	мать
mother tongue	родной язык
mother-in-law	''(wife’s mother-in-law)'' свекровь
motherfucker	пидор
motion	движение
motivate	мотивировать
motive	движущий
motive	мотив
motor	мотор
motorcycle	мотоцикл
mouflon	муфлон
mountain	гора
mourn	горевать
mouse	мышь
moustache	усы
mouth	рот
mouth	устье
move	двигать
movement	движение
movie	фильм
much	много
mucus	слизь
mud	грязь
muezzin	муэдзин
mugwort	чернобыль
mulberry	шелковица
mulberry	тута
mule	мул
multiplication	умножение
multiply	умножать
multiverse	мультивселенная
mumps	заушница
murder	убийство
murder	убивать
muscle	мышца
muse	муза
museum	музей
mushroom	гриб
music	музыка
musician	музыкант
muskrat	ондатра
mussel	мидия
must	должен
mustache	усы
mustard	горчица
mute	немой
mutual	взаимный
my	мой
my name is	меня зовут
myself	себя
mysterious	таинственный
mystery	тайна
myth	миф
mythology	мифология
nail	гвоздь
nail	ноготь
nail	прибивать
naked	голый
name	имя
name	именовать
name	выбирать
name	определять
name	обвинять
name day	именины
nape	затылок
napkin	салфетка
narrative	повествование
narrow	узкий
narwhal	нарвал
nation	нация
national	национальный
nationalism	национализм
nationality	национальность
native	родной
natural	естественный
natural language	естественный язык
nature	природа
naughty	озорной
nausea	тошнота
navel	пупок
navy	военно-морской флот
near	близкий
nearly	около
neat	опрятный
nebula	туманность
necessary	необходимый
neck	шея
neck	горлышко
necktie	галстук
need	нужда
needle	игла
needle	стрелка
negative	отрицательный
neglect	пренебрежение
negotiation	переговоры
neighborhood	соседство
neighbour	сосед
neighbourhood	соседство
neodymium	неодим
neon	неон
nephew	племянник
neptunium	нептуний
nerd	ботан
nervous	нервный
nest	гнездо
nest	притон
nettle	крапива
neutral	нейтральный
neutrino	нейтрино
neutron	нейтрон
never	никогда
nevertheless	тем не менее
new	новый
news	новости
newspaper	газета
next	следующий
next	ближайший
next	возле
nice	милый
nickel	никель
nickname	псевдоним
niece	племянница
nigger	негр
night	sc=Cyrl
nightfall	вечер
nightingale	обыкновенный соловей
nightmare	кошмар
nine	девять
nineteen	девятнадцать
ninety	девяносто
ninety-eight	девяносто восемь
ninety-five	девяносто пять
ninety-four	девяносто четыре
ninety-nine	девяносто девять
ninety-one	девяносто один
ninety-seven	девяносто семь
ninety-six	девяносто шесть
ninety-three	девяносто три
ninety-two	девяносто два
ninja	ниндзя
ninth	девятый
niobium	ниобий
nit	гнида
nitrogen	азот
no	нет
no	воспрещается
no one	никто
no smoking	воспрещается курить
no.	№
nobelium	нобелий
noble	благородный
nobody	никто
noise	шум
nominative	именительный падеж
nominative	именительный
nominative case	именительный падеж
none	никто
none	никакой
nonsense	вздор
noodle	лапша
noon	полдень
normal	нормальный
north	север
northeast	северо-восток
northwest	северо-запад
nose	нос
nostril	ноздря
not	не
note	записка
nothing	ничто
notify	уведомлять
noun	имя существительное
novel	роман
novelist	романист
novelty	новизна
now	сейчас
nowadays	в наше время
nowhere	нигде
numb	онемелый
number	число
number	номер
number	нумеровать
numeral	числительное
numerous	многочисленный
nun	монахиня
nurse	медсестра
nut	орех
nut	гайка
nut	сумасшедший
nut	яйцо
nutmeg	мускатный орех
nutritional	питательный
oak	дуб
oar	весло
oat	овёс
oath	присяга
oath	клятва
obedience	послушание
obese	толстый
object	объект
objection	возражение
objective	цель
oboe	гобой
obscure	тёмный
observe	наблюдать
obsession	одержимость
obstacle	препятствие
obtain	добывать
obvious	очевидный
occasion	случай
occasional	случайный
occupation	занятие
occurrence	происшествие
ocean	океан
octagon	восьмиугольник
octopus	осьминог
odd	странный
odd	нечётный
odour	запах
oesophagus	пищевод
of course	конечно
offer	предлагать
office	контора
office	ведомство
officer	офицер
often	часто
oh my God	Боже мой
ohm	ом
oil	масло
oil	нефть
old	старый
old	''(dative case
old man	дед
olive	оливка
olive	оливковый
olive tree	олива
omelette	омлет
omission	упущение
on	на
on	в
once	один раз
once	как только
once	однажды
once upon a time	давным-давно
one	один
one	единица
one	''not translated''; ''expressed by nominalization
oneself	себя
onion	лук
only	только
only	единственный
only	но
onward	вперёд
onyx	оникс
open	открывать
open	открытый
open	открываться
open	поднимать
operate	оперировать
operating system	операционная система
operation	операция
opinion	мнение
opossum	опоссум
opportunity	возможность
opposite	противоположный
oppress	притеснять
or	или
or	золотой
oral	устный
oral sex	оральный секс
orange	апельсин
orange	апельсиновое дерево
orange	оранжевый
orbit	орбита
orca	кoсатка
orchestra	оркестр
orchid	орхидея
order	порядок
order	приказ
order	приказывать
order	орден
order	заказ
order	заказывать
order	упорядочивать
order	приводить в порядок
order	отряд
ordinary	обыкновенный
ore	руда
organ	орган
organization	организация
origin	происхождение
original	первоначальный
ornament	орнамент
orphan	сирота
orthoclase	ортоклаз
osmium	осмий
osprey	скопа
ostrich	страус
other	другой
otter	выдра
ouch	ох
ounce	унция
our	наш
ourselves	себя
out	вы-
oven	духовка
over	над
overcome	преодолевать
overmorrow	послезавтрашний
owe	быть должным
owl	сова
own	свой
own	владеть
own	побеждать
owner	владелец
ox	вол
oxygen	кислород
oyster	устрица
package	посылка
page	страница
pagoda	пагода
pain	боль
paint	краска
paint	рисовать
paint	красить
painter	художник
painter	маляр
pair	пара
pair of compasses	циркуль
pajamas	пижама
palace	дворец
palaeolithic	Палеолит
palate	небо
pale	бледный
palladium	палладий
palm	пальма
palm	ладонь
pancake	блин
pancreas	поджелудочная железа
panda	панда
pandeism	пандеизм
pantheism	пантеизм
pants	брюки
pants	трусы
paper	бумага
parabola	парабола
parachute	парашют
parade	парад
paragraph	параграф
parallel	параллельный
pardon me	простите
parent	родитель
parents	родители
park	парк
park	ставить на стоянку
parliament	парламент
parrot	попугай
parsley	петрушка
part	часть
part	роль
part of speech	часть речи
participate	участвовать
participle	причастие
partridge	куропатка
party	партия
party	тусовка
pasha	паша
passenger	пассажир
passport	паспорт
past	прошлое
past	прошедшее время
past participle	причастие прошедшего времени
past tense	прошедшее время
path	тропа
patience	терпение
patient	пациент
patient	терпеливейший
pause	пауза
pavement	тротуар
pavement	мостовая
paw	лапа
pawn	пешка
pay	платить
pea	горох
peace	мир
peace	покой
peach	персик
peacock	павлин
peak	вершина
peanut	арахис
pear	груша
pearl	жемчуг
pederast	педераст
peel	корка
pejorative	уничижи́тельный
pelican	пеликан
pen	ручка
penalty	штраф
pencil	карандаш
penetrate	проникать
penguin	пингвин
peninsula	полуостров
penis	мужской половой член
penny	пенни
pentagon	пяти́угольник
penultimate	предпоследний
people	люди
people	народ
people	родня
perch	окунь
peregrine falcon	обыкновенный сокол
perestroika	перестройка
perfume	духи
perfume	благоухание
perfume	душить
perhaps	возможно
perineum	промежность
period	точка
period	период
periodic table	периодическая система
permanent	постоянный
permission	разрешение
perseverance	упорство
persist	упорствовать
person	человек
person	лицо
personal	личный
personality	личность
perspiration	пот
persuade	убеждать
petrol	бензин
petroleum	нефть
pharmacy	аптека
pharynx	фаринкс
pheasant	фазан
philosopher	философ
philosopher's stone	философский камень
philosophy	философия
phobia	фобия
phoenix	феникс
phone	телефон
phone	позвонить
phoneme	фонема
phonetics	фонетика
phosphorus	фосфор
photograph	фотография
photon	фотон
photosynthesis	фотосинтез
phrase	устойчивое словосочетание
phrase	фраза
physical	физический
physician	врач
physics	физика
physiology	физиология
pi	пи
pianist	пианист
piano	пианино
picture	фотография
picture	картина
picture	кино
pie	пирог
piece	кусок
pier	пристань
pig	свинья
pigeon	голубь
piglet	поросёнок
pigsty	свинарник
pike	щука
pile	куча
pill	таблетка
pillar	столб
pillow	подушка
pilot	лётчик
pimp	cутенёр
pimple	угорь
pin	булавка
pine	сосна
pineal gland	шишковидная железа
pineapple	ананас
pink	розовый
pipe	трубка
pipe	труба
piranha	пиранья
piss	ссаки
piss	сцать
pistachio	фисташка
pistol	пистолет
pity	жалость
pizza	пицца
place	место
place	класть
place	площадь
plague	чума
plain	простой
plaintiff	истец
plan	планировать
plan	план
plane	рубанок
plane	плоскость
plane	самолёт
plane	строгать
plane	уровень
plane	платан
planet	планета
plant	растение
plant	сажать
plant	завод
plantation	плантация
plastic	пластмасса
plate	тарелка
platform	платформа
platinum	платина
platypus	утконос
play	играть
play	игра
play	пьеса
pleasant	приятный
please	пoжaлуйстa
please	нравиться
pleasure	удовольствие
pledge	залог
plenty	изобилие
pliers	плоскогубцы
plough	плуг
plough	пахать
plow	плуг
plow	пахать
plum	слива
plumber	водопроводчик
plural	множественное число
plural	множественный
plus	плюс
plutonium	плутоний
pocket	карман
poem	стихотворение
poet	поэт
poetry	поэзия
point	пункт
poison	яд
poisonous	ядовитый
polar bear	белый медведь
pole	жердь
pole	полюс
polecat	хорёк
police	милиция
policeman	полицейский
policy	политика
polish	полировать
polite	вежливый
politician	политический деятель
politics	политика
pollen	цветень
polonium	полоний
polygon	многоугольник
polysynthetic	полисинтетический
polytheism	политеизм
pond	пруд
poor	бедный
poor	жалкий
popcorn	попкорн
pope	папа римский
poplar	тополь
poppy	мак
popular	популярный
population	население
porcelain	фарфор
porcupine	дикобраз
pork	свинина
pornography	порнография
porpoise	морская свинья
port	порт
portion	доля
portmanteau	чемодан
position	положение
positive	положительный
possess	обладать
possessive	притяжательный падеж
possessive case	притяжательный падеж
possibility	возможность
possible	возможный
post office	почтовое отделение
postage stamp	марка
postcard	почтовая открытка
postpone	окладывать
pot	горшок
potassium	калий
potato	картофель
potter	гончар
pouch	мешок
pound	фунт
pour	лить
poverty	бедность
powder	порошок
power	сила
power	власть
power	степень
power	электричество
power set	булеан
practice	практика
prairie dog	луговая собачка
praise	хвалить
prank	выходка
pray	молиться
prayer	молитва
precious	драгоценный
precise	точный
predicate	предикат
predict	предсказывать
prefer	предпочитать
prefix	приставка
pregnancy	беременность
prepare	готовить
preposition	предлог
prepuce	крайняя плоть
prescription	предписание
presence	присутствие
present	представлять
present	подарок
present	нынешний
present	настоящее
present	присутствующий
president	президент
press	нажимать
pressure	давление
pretend	делать вид
pretty	хорошенький
prevent	предотвращать
previous	предыдущий
price	цена
pride	гордость
priest	жрец
primary	первичный
prime	простой
prime minister	премьер-министр
prime number	простое число
primitive	примитивно
primitive	примитивный
princess	княгиня
principal	основной
principle	принцип
print	печатать
prison	тюрьма
prisoner of war	военнопленный
privacy	уединение
private	частный
privilege	привилегия
prize	премия
proactive	проактивный
probably	вероятно
problem	проблема
procedure	процедура
produce	производить
profession	профессия
professor	профессор
profit	прибыль
programming language	язык программирования
progress	прогресс
prohibit	запрещать
project	план
promethium	прометий
prominent	выступающий
promise	обещание
promote	способствовать
pronoun	местоимение
pronounce	произносить
pronunciation	произношение
proof	доказательство
proper	подходящий
proper noun	имя собственное
property	имущество
property	собственность
property	свойство
propose	предлагать
prostitute	проститутка
protect	защищать
protection	защита
protest	протестовать
proton	протон
proud	гордый
proverb	пословица
provide	обеспечивать
province	област
pseudonym	псевдоним
psychiatrist	психиатр
psychologist	психолог
psychology	психология
psychopolitics	психополитика
pub	бар
public	общественный
publish	издавать
puck	шайба
pull	тянуть
pulse	пульс
pump	насос
pumpkin	тыква
pun	каламбур
punish	наказывать
pupil	ученик
puppy	щенок
pure	чистый
purpose	цель
purpure	пурпурный
purse	сумка
pursue	преследовать
pus	гной
push	толкать
pussy	манда
pussy	кошечка
pussy	гнойный
puzzle	загадка
pylon	опора
pyramid	пирамида
python	питон
quackery	медицинское очковтирательство
quail	перепел
quality	качество
quality	качественный
quantization	квантование
quark	кварк
quarter	четверть
quarter	квартал
quartz	кварц
queen	королева
queen	ферзь
queen	дама
queen	матка
queer	гей
question	вопрос
question mark	вопросительный знак
queue	очередь
quick	быстрый
quickly	быстро
quicksand	сыпучие пески
quiet	тихий
quiet	спокойный
quiet	успокаиваться
quit	бросать
quiver	колчан
quotation	цитата
quotation mark	кавычки
rabbi	раввин
rabbit	кролик
rabies	бешенство
raccoon	енот
race	гонки
radiation	излучение
radio	радио
radium	радий
radius	радиус
radon	радон
rage	ярость
railroad	железная дорога
rain	дождь
rain cats and dogs	лить как из ведра
rainbow	радуга
rainbow trout	радужная форель
raise	поднимать
raisin	изюм
ram	баран
rape	преступление
rape	похищать
rapid	быстрый
rare	редкий
raspberry	малина
rat	крыса
rattlesnake	гремучая змея
raven	ворон
ravine	промоина
raw	сырой
ray	луч
ray	скат
razor	бритва
reaction	реакция
read	читать
ready	готовый
real	настоящий
reality	реальность
realize	представлять
realize	реализовать
really	действительно
realm	королевство
reason	разум
reason	причина
rebel	взбунтовать
rebellion	восстание
receipt	квитанция
receive	получать
recent	недавний
reception	приём
recipe	рецепт
recognize	узнавать
recommend	рекомендовать
record	рекорд
record	записывать
recreation	отдых
rectangle	прямоугольник
red	красный
red	рыжий
red deer	олень
redhead	рыжий
redshift	красное смещение
refer	относить
reflect	отражать
refresh	освежать
refrigerator	холодильник
refugee	Беженец
refuse	отказывать
regime change	изменение режима
region	район
region	область
register	регистрировать
regret	сожалеть
regret	сожаление
regular	регулярный
regulate	регулировать
regulation	устав
rein	вожжа
reindeer	северный олень
reinforce	подкреплять
reject	отвергать
relationship	отношение
relative	родственник
relativity	относительность
release	отпускать
relief	облегчение
religion	религия
rely	полагаться на
remain	оставаться
remark	замечание
remember	помнить
remember	запоминать
remind	напоминать
remote	отдалённый
remove	устранять
rent	нанимать
repair	ремонт
repair	ремонтировать
repeat	повторять
replace	заменять
report	доклад
report	сообщать
represent	представлять
representative	представитель
reptile	прeсмыкaющeeся
republic	республика
reputation	репутация
request	просьба
requirement	необходимость
rescue	спасать
resemble	походить
reserve	запас
reserve	резервировать
residence	местожительство
resign	отказываться
resistance	сопротивление
resistor	резистор
resolve	решать
resource	ресурс
respect	уважение
responsibility	ответственность
rest	отдыхать
rest	остаток
restaurant	ресторан
restrict	ограничивать
result	результат
retreat	отступать
reveal	выявлять
revenge	реванш
revolution	революция
reward	награда
rhinoceros	носорог
rhodium	родий
rhombus	ромб
rhubarb	ревень
rib	ребро
rice	рис
rich	богатый
ride	ехать
rider	всадник
ridiculous	нелепый
rifle	винтовка
right	правый
right	правильный
right	право
right	прямой
right	исправлять
right	перпендикулярный
rigid	жёсткий
ring	кольцо
ring	звонить
ring	ринг
ring finger	безымянный палец
ring tone	мобильная игра
ripe	зрелый
ritual	ритуал
river	река
rivet	заклепка
road	дорога
rob	грабить
robin	зарянка
rock	(горный
rock	камень
rock	скала
rock	рок
rock	качать
rock	качаться
rock dove	сизый голубь
rocket	ракета
rodent	грызун
roe	икра
roe deer	косуля
roentgenium	рентгений
roll	катить
roll	свёртывать
roll	завёртывать
roof	крыша
roof	свод
rook	ладья
rook	грач
room	комната
room	пространство
rooster	петух
root	корень
rope	верёвка
rose	роза
rosemary	розмарин
rot	гнить
rotten	гнилой
rough	шероховатый
round	круглый
row	ряд
royal	королевский
rub	тереть
rubidium	рубидий
ruble	рубль
rude	грубый
ruin	гибель
rule	правило
ruler	линейка
rum	ром
ruminant	жевание жвачки
run	бегать
run/experiment	бегать
rust	ржавчина
rutabaga	брюква
ruthenium	рутений
rutile	рутил
rye	рожь
röntgen	рентген
sable	черный
sable	соболь
sabotage	саботаж
sabre	сабля
sack	мешок
sacrifice	жертва
sacrifice	жертвовать
sad	печальный
saddle	седло
safe	сейф
safety	безопасность
saffron	шафран
sailing	парусный спорт
sailor	матрос
saint	святой
salad	салат
salary	зарплата
sale	продажа
salesman	продавец
salesperson	продавец
saliva	слюна
salmon	лосось
salt	соль
salt	солить
salty	солёный
same	самый
sample	образец
samurai	самурай
sand	песок
sandwich	сандвич
sapphire	сапфир
sarcasm	сарказм
sarcophagus	саркофаг
satellite	спутник
satisfaction	удовлетворение
sauce	соус
sausage	колбаса
sausage	сосиска
save	спасать
save	сохранять
saw	пила
saw	пилить
saxophone	саксофон
say	говорить
say	гласить
saying	пoслoвицa
scabbard	ножны
scabies	чесотка
scaffolding	леса
scale	весы
scale	масштаб
scale	чешуйка
scales	весы
scandium	скандий
scanner	блок развертки
scapegoat	козёл отпущения
scar	шрам
scarce	скудный
scare	пугать
scarecrow	пугало
scarf	шарф
scatter	разбрасывать
scene	сцена
scent	запах
schedule	расписание
scheme	схема
school	школа
school	высшая школа
school	кафедра
school	учение
school	учить
school	косяк
science	наука
scientist	учёный
scissors	ножницы
scold	бранить
score	счёт
scorpion	скорпион
scratch	царапать
scream	кричать
screen	экран
screw	винт
screwdriver	отвёртка
scrotum	мошонка
sculpture	скульптура
sea	море
sea horse	морской конёк
sea lion	морской лев
sea urchin	морской ёж
seagull	чайка
seal	тюлень
seal	печать
seaplane	гидросамолёт
search	искать
season	время года
season	сезон
second	секунда
second	второй
second	секундант
secret	тайна
secretary	секретарь
sect	секта
security	безопасность
see	видеть
seed	семя
seek	искать
seem	казаться
seismic	сейсмический
seize	захватывать
seldom	редко
select	отбирать
selenium	селен
self	себя
selfish	эгоистичный
sell	продавать
semelfactive	однократный
semen	семя
semiconductor	полупроводник
send	посылать
sense	чувство
sense	смысл
sentence	предложение
sentence	приговор
sentence	наказание
sentence	приговаривать
sentence	осуждение
separate	отделять
separate	отдельный
sergeant	сержант
serious	серьёзный
serpent	змея
servant	слуга
service	служба
service	обслуживание
session	сессия
set	множество
set	набор
set on fire	поджечь
set theory	теория множеств
seven	семь
seven deadly sins	семь смертных грехов
seventeen	семнадцать
seventh	седьмой
seventy	семьдесят
seventy-five	семьдесят пять
seventy-four	семьдесят четыре
seventy-nine	семьдесят девять
seventy-one	семьдесят один
seventy-seven	семьдесят семь
seventy-six	семьдесят шесть
seventy-three	семьдесят три
seventy-two	семьдесят два
several	несколько
sew	шить
sewing machine	швейная машинка
sex	пол
sex	секс
sexology	сексология
sexual	сексуальный
sexual orientation	сексуальная ориентация
shackles	наручники
shade	тень
shadow	тень
shahada	шахада
shallow	мелкий
shame	стыд
shampoo	шампунь
shape	форма
share	доля
share	акция
shark	акула
sharp	острый
shave	бриться
she	она
sheath	ножны
sheep	овца
sheepdog	овчарка
sheet	простыня
sheet	лист
shelf	полка
shepherd	пастух
shh	тише
shield	защита
shield	щит
shield	защищать
shine	светиться
ship	корабль
shirt	рубашка
shit	говно
shit	срать
shit	ебать
shit	говнюк
shit	высирать
shit	дрисня
shock	шок
shoe	туфля
shoe	подкова
shoe	башмак
shoe polish	вакса
shoot	выстрелить
shoot	стрелять
shop	магазин
shore	берег
shot	выстрел
shotgun	дробовик
shoulder	плечо
shoulder	обочина
shoulder blade	лопатка
shout	кричать
shovel	лопата
show	показывать
show	спектакль
show	выставка
shower	ливень
shower	душ
shower	принять душ
shrew	бурозубка
shrimp	креветка
shrine	рака
shy	застенчивый
sick	болен
sickle	серп
side	сторона
side	страница
sideburns	бакенбарды
siege	осада
sieve	сетка
sight	зрение
sight	достопримечательность
sight	вид
sight	прицел
sight	увидеть
sign	знак
significance	значение
silence	молчание
silicon	кремний
silk	шёлк
silkworm	тутовый шелкопряд
silver	серебро
silver	серебряный
silver	серебристый
silversmith	серебряный кузнец
similar	подобный
simple	простой
simultaneous	одновременный
simultaneously	одновременно
sin	грех
sin	грешить
since	с
since	поскольку
sincere	искренний
sing	петь
singer	певец
singular	единственное число
sink	тонуть
sister	сестра
sister	медсестра
sister-in-law	невестка
sisters	сестра
sit	сидеть
sit down	садиться
six	шесть
sixteen	шестнадцать
sixth	шестой
sixty	шестьдесят
sixty-eight	шестьдесят восемь
sixty-five	шестьдесят пять
sixty-four	шестьдесят четыре
sixty-nine	шестьдесят девять
sixty-one	шестьдесят один
sixty-seven	шестьдесят семь
sixty-six	шестьдесят шесть
sixty-three	шестьдесят три
sixty-two	шестьдесят два
skeleton	скелет
ski	лыжа
ski	кататься на лыжах
skill	квалификация
skim	рикошетировать
skin	кожа
skin	шкура
skin	корка
skirt	юбка
skull	череп
skunk	скунс
sky	небо
sky	небеса
skylark	жаворонок
skyscraper	небоскрёб
slander	клевета
slang	сленг
sleep	сон
sleep	спать
sleeve	рукав
slender	тонкий
slide	скользить
slight	незначительный
sloth	ленивец
sloth	лень
slow	медленный
slug	слизняк
sly	хитрый
small	маленький
smell	обонять
smell	запах
smell	обоняние
smell	пахнуть
smile	улыбка
smile	улыбаться
smith	кузнец
smoke	дым
smoke	курить
smoke	дымиться
smoke	курево
smoke	коптить
smooth	гладкий
snail	улитка
snake	змея
sneeze	чихать
snob	сноб
snot	сопли
snow	снег
snow	снежить
snow	снегопад
snow leopard	ирбис
snowball	снежок
snowman	снежная баба
snowstorm	пурга
so	так
so	очень
soap	мыло
soccer	футбол
socialism	социализм
society	общество
sock	носок
sodium	натрий
sofa	софа
soft	мягкий
software	программное обеспечение
soil	земля
solar system	Солнечная система
soldier	солдат
sole	подошва
solid	твёрдый
solid	твёрдое тело
solid	крепкий
solid	крупный
solitude	одиночество
solution	решение
solution	раствор
some	несколько
