-ible	-ibile
kidney	rene
kill	uccidere
killer whale	orca
kilogram	chilogrammo
kilometer	chilometro
kilometre	chilometro
kind	gentile
king	re
kingdom	regno
kinship	parentela
kiss	baciare
kiss	bacio
kiss	baciarsi
kitchen	cucina
kite	aquilone
kitten	gattino
kitty	gattino
kiwi fruit	kiwi
knee	ginocchio
kneecap	rotula
kneel	inginocchiarsi
knight	cavaliere
knight	cavallo
knot	nodo
know	sapere
know	conoscere
know	comprendere
knowledge	conoscenza
knuckle	nocca
koala	koala
krypton	cripto
kryptonite	kryptonite
kyanite	cianite
label	etichetta
labyrinth	labirinto
lac	lacca
lace	pizzo
lacrosse	lacrosse
ladder	scala
ladle	mestolo
lady	signora
ladybird	coccinella
ladybug	coccinella
lahar	lahar
lake	lago
lake	lacca
lamb	agnello
land	terra
land mine	mina terrestre
language	lingua
language	linguaggio
lanthanum	lantanio
laptop	(computer
larch	larice
large	grande
lark	allòdola
larynx	laringe
laser	laser
last	ultimo
last night	iernotte
last night	notte scorsa
last year	l'anno
late	tardi
lathe	tornio
lather	schiuma di sapone
lather	insaponare
laugh	ridere
laugh	riso
laughter	riso
laurel	alloro
lavender	lavanda
law	legge
law	diritto
lawrencium	laurenzio
lawyer's wig	agarico chiomato
lay	posare
lazy	pigro
lead	piombo
lead	condurre
lead/experiment	piombo
lead/experiment	condurre
lead/experiment2	piombo
lead/experiment2	condurre
leader	duce
leaf	foglia
leaf	foglio
leap	saltare
leap	salto
leap year	anno bisestile
leash	guinzaglio
least weasel	donnola
leather	cuoio
leave	partire
leave	lasciare
leech	sanguisuga
leek	porro
left	sinistro
left	sinistra
leg	gamba
legible	leggibile
lemon	limone
lemon balm	citronella
lemonade	limonata
lemur	lemure
lend	prestare
length	lunghezza
lens	lente
leopard	leopardo
lesbian	lesbica
lesser spotted woodpecker	picchio rosso minore
lesson	lezione
let's go	andiamo
let's go	muoviti
letter	lettera
lettuce	lattuga
levitation	levitazione
lexeme	lessema
lexicography	lessicografia
liar	bugiardo
library	biblioteca
lichen	lichene
lick	leccare
lid	coperchio
lie	mentire
lie	giacere
lie	bugia
lieutenant	tenente
life	vita
lift	ascensore
light	luce
light	accendere
light	illuminare
light	leggero
light	chiaro
light bulb	lampadina
light year	anno luce
lighthouse	faro
lightning	fulmine
like	come
like	piacere
like father, like son	Tale padre, tale figlio
lilac	lillà
lily of the valley	mughetto
lime	calce
lime	lime
limestone	calcare
limit	limite
line	linea
linguistics	linguistica
link	anello
link	collegamento
link	link
lion	leone
lioness	leonessa
lip	labbro
lipstick	rossetto
liquid	liquido
listen	ascoltare
listen	dare
listen	sentire
listen	stare
literature	letteratura
lithium	litio
litre	litro
little	poco
little	piccolo
little finger	mignolo
little owl	civetta
live	vivere
live	abitare
live	vivo
liver	fegato
livestock	bestiame
living room	soggiorno
lizard	lucertola
llama	lama
lobster	aragosta
lock	serratura
locust	locusta
log	ciocco
logarithm	logaritmo
logic	logica
loin	lombo
lol	lol, rm
long	lungo
long	bramare
long-eared owl	gufo comune
look	aspetto
lord	signore
lose	perdere
louse	pidocchio
love	amore
love	amare
love	fare
love	voler
lover	amante
low	basso
luck	fortuna
luckily	fortunatamente
lucky	portafortuna
lucky	fortunato
lukewarm	tiepido
lullaby	ninna nanna
lumpsucker	cicloterro
lunch	pranzo
lunch	pranzare
lung	polmone
lute	liuto
lutetium	lutezio
lynx	lince
lyre	lira
lysine	lisina
mace	mazza
machine	macchina
machine gun	mitragliatrice
mackerel	sgombro
macroeconomics	macroeconomia
mad	pazzo
magazine	rivista
magazine	caricatore
magic wand	bacchetta magica
magnesium	magnesio
magnet	magnete
magnetic	magnetico
magnetism	magnetismo
magpie	gazza
maid	signorina
maize	granturco
majority	maggioranza
make	marca
make a mountain out of a molehill	fare di una mosca un elefante
make love	fare l'amore
male	maschio
mallard	anatra selvatica
mammal	mammifero
mammoth	mammut
man	uomo
man	pedina
management	amministrazione
mandarin	mandarino
mandarin orange	mandarino
manganese	manganese
manual	manuale
manure	letame
many	molti
many thanks	grazie molte
map	mappa
maple	acero
marathon	maratona
marble	marmo
march	marcia
march	marciare
mare	cavalla
margrave	margravio
marionette	marionetta
mark	segno
mark	marco
marmot	marmotta
maroon	marrone
marrow	midollo
marry	sposarsi
marsh	palude
marten	martora
masculine	masculino
mast	albero
mastiff	mastino
masturbate	masturbare
masturbation	masturbazione
match	fiammifero
match	incontro
maternal death	morte osterica
maternal grandmother	nonna materna
mathematician	matematico
mathematics	matematica
matrix	matrice
matter	importare
mattress	materasso
mature	maturo
may	potere
may	forse
maybe	forse
mayonnaise	maionese
mayor	sindaco
me	mi
me too	anch'io
meal	pasto
meal	mangìme
mean	significare
mean	medio
mean	media
mean	volere
mean	voler dire
mechanic	meccanico
mechanics	meccanica
medal	medaglia
medicine	medicina
mediocre	mediocre
meditation	meditazione
meeting	riunione
meitnerium	meitnerio
melancholy	malinconia
melanoma	melanoma
melody	melodia
melon	melone
melt	sciogliere
member	membro
memory	memoria
men	signori
mendelevium	mendelevio
menorah	menorah
menstruation	mestruazione
menu	carta
meow	miao
meow	miagolare
merchant	mercatore
mercury	mercurio
mermaid	sirena
messenger	messaggero
metal	metallo
metallurgy	metallurgia
metaphor	metafora
metastasis	metastasi
meter	metro
methane	metano
method	metodo
metre	metro
metro	metropolitana
metrosexual	metrosessuale
micro-	micro- (1,2)
microwave oven	forno a microonde
midbrain	mesemcefalo
middle finger	medio
midnight	mezzanotte
midwife	ostetrica
mild	delicato
mile	miglio
milk	latte
milkmaid	lattaia
mill	mulino
millennium	millennio
millet	miglio
milliard	miliardo
millimetre	millimerro
million	milione
millisecond	millisecondo
millstone	mola
minaret	minareto
mind	mente
mine	miniera
mine	mina
mine	mio
miner	minatore
mineralogy	mineralogia
mink	visone
mint	zecca
mint	menta
minus	meno
minute	minuto
minute	attimo
minute	minuscolo
miracle	miracolo
misfortune	disgrazia
miss	mancare
miss	signorina
missile	missile
mission	missione
mist	nebbia
mistake	errore
mistake	fraintendere
mister	signor
mistletoe	vischio
misunderstand	fraintendere
mitochondrion	mitocondrio
mix	mischiare
mobile	mobile
mobile phone	cellulare
model	modello
modern	moderno
moist	umido
moisture	umidità
molar	dente
molasses	melassa
mole	talpa
mole	nevo
molecule	molecola
mollusc	mollusco
molybdenum	molibdeno
moment	momento
monastery	monastero
money	danaro
mongoose	mangusta
monk	monaco
monkey	scimmia
monopoly	monopoli
monster	mostro
month	mese
monthly	mensilmente
mood	umore
mood	modo
moon	mese
moon	luna
moose	alce
morality	moralità
moreover	inoltre
morning	mattina
mortal	mortale
mortality	mortalità
mosque	moschea
mosquito	zanzara
moss	musco
most	la maggioranza
moth	falena
mother	madre
mother tongue	madrelingua
mother-in-law	suocera
motherfucker	figlio di puttana
motion	movimento
motivate	motivare
motive	motivo
motor	motore
motorcycle	motocicletta
mouflon	muflone
mould	muffa
mountain	montagna
mourn	rimpiangere
mouse	topo
moustache	baffi
mouth	bocca
mouth	foce
move	muovere
move	muoversi
move	trasferirsi
movie	cinema
mow	falciare, tagliare l'erba
much	molto
mucus	muco
mud	fango
mulberry	mora
mulberry	moro
multiplication	moltiplicazione
multiply	moltiplicare
multiverse	multiverso
mum	mamma
mummy	mummia
mummy	mamma
mumps	parotite epidemica
murder	assassinio
murder	assassinare
murderer	assassino
muscle	muscolo
muse	muse
museum	museo
mushroom	fungo
music	musica
musician	musiciano
muskrat	topo muschiato
mussel	cozza
must	dovere
mustache	baffi
mustard	senape
mutual	mutuo
my	mio
my name is	mi chiamo
myrrh	mirra
myself	me stesso
mysterious	misterioso
mystery	misterio
mythology	mitologia
nail	chiodo
nail	unghia
nail	inchiodare
naked	nudo
name	nome
name	nomare
name	fama
name	scegliere
name	specificare
name	nominare
name	identificare
name day	onomastico
nape	nuca
napkin	tovagliolo
narrative	descrizione
narrow	stretto
narwhal	narvalo
nation	nazione
national	nazionale
national anthem	inno nazionale
nationalism	nazionalismo
nationality	nazionalità
native	nativo
natural	naturale
natural gas	gas naturale
nature	natura
naughty	birichino
nausea	nausea
navel	ombelico
navy	marina
near	vicino
near	circa
nearly	quasi
neat	lindo
nebula	nebulosa
necessary	necessario
neck	collo
necklace	collana
necktie	cravatta
necrophilia	necrofilia
need	bisogno
need	aver bisogno di
needle	ago
needle	lancetta
needle	puntina
negative	negativo
neglect	negligenza
negotiation	negoziato
neighborhood	vicinato
neighbour	vicino
neighbourhood	vicinato
neodymium	neodimio
neon	neon
nephew	nipote
neptunium	nettunio
nerd	secchione
nervous	nervoso
nest	nido
net	rete
nettle	ortica
neutral	neutrale
neutrino	neutrino
neutron	neutrone
never	giammai
nevertheless	nondimeno
new	nuovo
new	fresco
news	telegiornale
news	novità
newspaper	giornale
newspaper	carta da giornale
next	seguente
next	vicino
next	più
nice	(''person'') simpatico
nickel	nichel
nickname	soprannome
niece	nipote
nigger	negro
night	notte
nightfall	crepuscolo
nightingale	usignolo
nightmare	incubo
nine	nove
nineteen	diciannove
ninety	novanta
ninety-eight	novantaotto
ninety-five	novantacinque
ninety-four	novantaquattro
ninety-nine	novantanove
ninety-one	novantuno
ninety-seven	novantasette
ninety-six	novantasei
ninety-three	novantatrè
ninety-two	novantadue
ninja	ninja
ninth	nono
niobium	niobio
nipple	capezzolo
nitrogen	azoto
no	no
no	non
no one	nessuno
no smoking	vietato fumare
no.	nº
nobelium	nobelio
noble	nobile
nobody	nessuno
noise	rumore
nominative	nominativo
nominative case	caso nominativo
none	nessuno
nonsense	sciocchezza
noodle	(''string'') it
noon	mezzogiorno
normal	normale
north	nord
north	settentrionale
nose	naso
nostril	narice
not	non
note	nota
nothing	non
notify	notificare
noun	nome
novel	romanzo
novelty	novità
now	adesso
nowhere	in nessun posto
nude	nudo
nudity	nudità
numb	intorpidito
number	numero
number	numerare
numeral	numero
numerous	numeroso
nun	suora
nurse	infermiere
nurse	nutrice
nut	noce
nut	dado
nut	pazzo
nut	coglione
nutmeg	noce moscata
nutritional	nutrizionale
o'clock	l'una
oak	quercia
oak	legno
oar	remo
oasis	oasi
oat	avena
oath	giuramento
obedience	obbedienza
obedient	ubbidiente
obese	obeso
object	oggetto
object	obiettare
objection	obiezione
objective	obbiettivo
oblivion	oblio
oboe	oboe ''(invariable)''
obscure	oscuro
observatory	osservatorio
observe	osservare
obstacle	ostacolo
obtain	ottenere
obvious	ovvio
occasion	occasione
occasional	occasionale
occupation	occupazione
occurrence	occorrenza
ocean	oceano
octagon	ottagono
octopus	piovra
odd	strano
odd	dispari
odour	odore
oesophagus	esofago
of course	certo
offer	offrire
office	ufficio
officer	agente
often	spesso
oh my God	Dio mio
ohm	ohm
oil	olio
oil	petrolio
oil	oliare
old	vecchio
old	''translated by avere
olive	oliva
olive tree	olivo
omelette	omleta
omission	omissione
on	su
once	una
once	un
once upon a time	c'era una volta
one	uno
one	''expressed by nominalization
onion	cipolla
only	solo
only	ma
onomatopoeia	onomatopea
onward	in avanti
open	aprire
open	aperto
operate	operare
operating system	sistema operativo
operation	operazione
opinion	opinione
opportunity	occasione
opposite	opposto
oppress	opprimere
or	o
or	oro
oral	orale
oral sex	sesso orale
orange	arancia
orange	arancio
orange	arancione
orbit	orbita
orca	orca
orchestra	orchestra
orchid	orchidea
order	ordine
order	ordinare
order	ordinazione
ordered pair	coppia
ordinary	ordinario
ore	minerale
organ	organo
organization	organizzazione
orgasm	orgasmo
origin	origine
original	originale
ornament	ornamento
orphan	orfano
osmium	osmio
osprey	falco pescatore
ostensible	apparente
ostrich	struzzo
other	altro
otter	lontra
ounce	oncia
our	nostro
ourselves	noi stessi
out	fuori
oven	forno
over	sopra
over	terminato
overcome	vincere
overmorrow	dopodomani
owe	dovere
owl	gufo
own	proprio
own	possedere
own	sconfiggere
owner	proprietario
ox	bove
oxygen	ossigeno
oxymoron	ossimoro
oyster	ostrica
package	pacco
page	pagina
pain	dolore
paint	vernice
paint	dipingere
paint	verniciare
painter	pittore
painter	verniciatore
pair	paio
palace	palazzo
palaeolithic	Paleolitico
palate	palato
pale	pallido
palimpsest	palinsesto
palindrome	palindromo
palladium	palladio
palm	palma
palm	palmo
pancake	frittella
panda	panda
pandeism	pandeismo
panentheism	panenteismo
pantheism	panteismo
pants	calzoni
pants	mutande
paper	carta
paper	di carta
parabola	parabola
parachute	paracadute
parade	parata
paradise	paradiso
paradox	paradosso
paragliding	parapendio
parallel	parallelo
paralysis	paralisi
pardon me	scusami
parent	genitore
parents	genitori
park	parco
park	sostare
parliament	parlamento
parrot	pappagallo
parrot	ripetere
parsley	prezzemolo
part	parte
part of speech	parte del discorso
participant	partecipante
participate	partecipare
participle	participio
partridge	pernice
party	partito
party	festa
pasha	pascià
passenger	passeggero
passport	passaporto
past	passato
past participle	participio passato
pasta	pasta
paternal grandmother	nonna paterna
path	sentiero
patience	pazienza
patient	paziente
pause	pausa
pavement	marciapiede
pavement	pavimentazione stradale
pay	pagare
payment	pagamento
pea	pisello
peace	pace
peach	pesca
peach	pesco
peacock	pavone
peak	cima
peanut	arachide
pear	pera
pear	pero
pebble	ciottolo
pederast	pederasta
pederasty	pederastia
pedestrian	pedone
peel	buccia
pejorative	peggiorativo
pen	penna
penalty	penalità
pencil	matita
penetrate	penetrare
penguin	pinguino
peninsula	penisola
penis	pene
pentagon	pentagono
penultimate	penultimo
people	gente
people	popolo
people	famiglia
pepper	pepe
pepper	(''spicy'') peperoncino
percent	per cento
perch	pesce persico
peregrine falcon	falco pellegrino
perestroika	perestrojka
perfect	perfetto
perfume	profumo
perfume	profumare
perhaps	forse
perineum	perineo
periodic table	tavola periodica
permanent	permanente
permission	permesso
perseverance	perseveranza
persist	persistere
person	persona
personal	personale
personality	personalità
perspiration	sudore
persuade	persuadere
petrol	benzina
petroleum	petrolio
pharaoh	faraone
pharmacy	farmacia
pharynx	faringe
pheasant	fagiano
philosopher	filosofo
philosopher's stone	pietra filosofale
philosophy	filosofia
phobia	fobia
phoenix	fenice
phone	telefono
phone	telefonare
phoneme	fonema
phonetics	fonetica
phosphorus	fosforo
photograph	fotografia
photograph	fotografare
photon	fotone
photosynthesis	fotosintesi
physical	fisico
physician	clinico
physics	fisica
physiology	fisiologia
pi	pi greco
pianist	pianista
piano	pianoforte
pickpocket	borseggiatore
picture	fotografia
picture	quadro
pie	torta
piece	pezzo
pier	pontile
pig	maiale
pigeon	piccione
piglet	maialino
pigment	pigmento
pigsty	porcile
pile	mucchio
pill	pillola
pillar	pilastro
pillow	guanciale
pilot	pilota
pimp	pappone
pin	spillo
pine	pino
pineal gland	ghiandola pineale
pineapple	ananas
ping pong	ping-pong
pink	rosa
pipe	pipa
pipe	condotto
piss	orina
piss	orinare
pit	fossa
pitch	pece
pity	pietà
pixel	pixel
pizza	pizza
place	luogo
place	collocare
place	piazza
plague	peste
plain	semplice
plan	progettare
plan	piano
plane	pialla
plane	piano
plane	aereo
plane	piallare
plane	platano
planet	pianeta
plant	pianta
plant	piantare
plant	impianto
plantation	piantagione
plastic	plastica
plate	piatto
platform	piattaforma
platform	binario
platinum	platino
platypus	ornitorinco
play	giocare
play	gioco
play	dramma
play	suonare
playing card	carta da gioco
pleasant	piacevole
please	per favore
please	accontentare
pleasure	piacere
pledge	giuramento
plenty	abbondanza
pliers	pinze
plough	aratro
plough	arare
plow	aratro
plow	arare
plum	prugna
plum	prugno
plumber	idraulico
plural	plurale
plus	più
plutonium	plutonio
pocket	tasca
poem	poema
poet	poeta
poetry	poesia
point	punto
poison	veleno
poison	avvelenare
poisonous	velenoso
polar bear	orso polare
pole	palo
polecat	puzzola
police	polizia
police officer	poliziotto
police station	commissariato
policeman	poliziotto
policy	politica
polish	lucidare
polish	lucido
polite	cortese
politician	politico
politics	politica
pollen	polline
pollution	inquinamento
polonium	polonio
polyamory	poliamore
polygon	poligono
polysynthetic	polisintetico
polytheism	politeismo
pomegranate	melagrana
pomegranate	melograno
pond	stagno
poor	povero
poor	misero
pope	papa
poplar	pioppo
poppy	papavero
popular	popolare
population	popolazione
porcupine	porcospino
pork	maiale
pornography	pornografia
porpoise	focena
port	porto
port	città portuale
portion	porzione
position	posizione
positive	positivo
possess	possedere
possibility	possibilità
possible	possibile
post office	ufficio postale
postage stamp	francobollo
postcard	cartolina
postpone	rimandare
pot	pentola
potable	potabile
potassium	potassio
potato	patata
potter	vasaio
pouch	sacchetto
pound	libbra
pour	versare
poverty	povertà
powder	polvere
power	potenza
power	potere
power	elettricità
power set	insieme delle parti
practice	pratica
praise	lodare
prank	burla
pray	pregare
prayer	preghiera
pre-ejaculate	pre-eiaculazione
precious	prezioso
precise	preciso
predict	predire
prefer	preferire
pregnancy	gravidanza
pregnant	incinta
prepare	preparare
preposition	preposizione
prepuce	prepuzio
prescription	ricetta
presence	presenza
present	presentare
present	dono
present	presente
president	presidente
press	premere
pressure	pressione
pretend	fingere
pretty	grazioso
prevent	impedire
previous	previo
price	prezzo
pride	orgoglio
priest	prete
primary	primario
prime	primo
prime minister	primo ministro
prime number	numero primo
primitive	primitivo
princess	principessa
principal	principale
principle	principio
print	stampare
printer	stampante
prison	prigione
prisoner of war	prigioniero di guerra
privacy	intimità
private	privato
privilege	privilegio
prize	premio
probably	probabilmente
problem	problema
procedure	procedura
process	azione
produce	produrre
product	prodotto
profession	professione
professor	professore
profit	profitto
programming language	linguaggio di programmazione
progress	progresso
prohibit	proibire
project	progetto
promethium	promezio
prominent	prominente
promise	promessa
promise	promettere
promote	promuovere
pronoun	pronome
pronounce	pronunziare
pronunciation	pronuncia
proof	prova
propaganda	propaganda
proper	decente
proper noun	nome proprio
property	proprietà
propose	proporre
prostitute	prostituta
protect	proteggere
protection	protezione
protest	protestare
proton	protone
prototype	prototipo
proud	orgoglioso
proverb	proverbio
provide	provvedere
province	provincia
pseudonym	pseudonimo
psychiatrist	psichiatra
psychologist	psicologo
psychology	psicologia
psychopolitics	psicopolitica
pub	béttola
public	pubblico
publish	pubblicare
puck	disco di gomma
pull	tirare
pulse	polso
pump	pompa
pumpkin	zucca
pun	gioco di parole
punish	punire
puppet	marionetta
puppy	cucciolo
pure	puro
purple	porpora
purpose	proposito
purpure	porpora
purse	portafoglio
pursue	perseguire
pus	pus
push	spingere
pussy	fica
pussy	micio
pussy	purulento
puzzle	mistero
pyjamas	pigiama
pylon	pilone
pyre	rogo
python	pitone
quackery	frode medica
quadrilateral	quadrilatero
quail	quaglia
quality	qualità
quality	di qualità
quantization	quantizzazione
quark	quark
quarter	quarto
quartz	quarzo
queen	regina
queen	ape regina
queer	gay
question	domanda
question mark	punto interrogativo
queue	fila
quick	rapido
quicksand	sabbie mobili
quidditch	Quidditch
quiet	quieto
quiet	calmo
quiet	calmare
quit	lasciare
quiver	faretra
quotation	citazione
quotation mark	virgolette
rabbi	rabbino
rabbit	coniglio
rabies	rabbia
raccoon	procione
race	corsa
racism	razzismo
radiation	radiazione
radio	'''radio'''
radish	ravanello
radium	radio
radon	radon
rage	rabbia
railroad	ferrovia
rain	pioggia
rain	piovere
rain cats and dogs	piovere a catinelle
rainbow	arcobaleno
rainbow trout	trota
raise	alzare
raisin	uva secca
rake	rastrello
rake	rastrellare
ram	ariete
rape	stupro
rape	stuprare
rapid	rapido
rare	raro
raspberry	lampone
rat	topo
rattlesnake	crotalo
raven	corvo
raw	crudo
raw material	materia
ray	raggio
razor	rasoio
reaction	reazione
read	leggere
ready	pronto
ready	preparato
real	reale
real	vero
realism	realismo
reality	realtà
realize	rendersi conto
really	veramente
realm	reame
reason	ragione
reason	causa
rebel	ribellarsi
rebel	ribelle
rebellion	ribellione
receipt	quietanza
receive	ricevere
recent	recente
reception	ricevimento
recipe	ricetta
recognize	riconoscere
recommend	raccomandare
record	primato
record	registrare
recreation	ricreazione
rectangle	rettangolo
red	rosso
red deer	cervo nobile
red wine	vino rosso
redhead	testarossa
redshift	spostamento verso il rosso
reed	canna
refer	riferire
referee	arbitro
reflect	riflettere
refresh	rinfrescare
refrigerator	frigorifero
refuse	rifiutare
regime change	cambiamento di regime
region	regione
register	registrare
regret	rimpiangere
regret	rammarico
regular	regolare
regulate	regolare
regulation	regolamento
reindeer	renna
reinforce	rinforzare
reject	respingere
relation	relazione
relationship	rapporto
relative	parente
relative	relativo
release	liberare
relief	sollievo
religion	religione
rely	contare su
remain	rimanere
remark	osservazione
remind	rammentare
remote	remoto
remove	togliere
rent	affittare
repair	riparazione
repair	riparare
repeat	ripetere
replace	sostituire
report	rapporto
report	riferire
represent	rappresentare
representative	rappresentante
republic	repubblica
reputation	reputazione
request	richiesta
requirement	requisito
rescue	salvare
resemble	rassomigliare
reserve	riserva
reserve	riservare
residence	residenza
resign	dimettersi
resistance	resistenza
resistor	resistore
resolve	risolvere
resource	risorsa
respect	rispetto
responsibility	responsabilità
rest	riposarsi
rest	resto
restaurant	ristorante
restrict	restringere
result	risultato
retreat	ritirarsi
reveal	rivelare
revenge	vendetta
revolution	rivoluzione
reward	ricompensa
rhinoceros	rinoceronte
rhodium	rodio
rhombus	rombo
rhubarb	rabarbaro
rib	costola
ribbon	nastro
rice	riso
rich	ricco
ride	(''horse'') ''transitive'', ''intransitive'' cavalcare
ride	''transitive'', ''intransitive'' guidare
ridiculous	ridicolo
rifle	fucile
right	destro
right	corretto
right	diritto
right	correggere
right triangle	triangolo rettangolo
ring	anello
ring	suonare
ring finger	anulare
ring tone	suoneria
ripe	maturo
ritual	rituale
river	fiume
rivet	ribattino
road	strada
rob	derubare
robin	pettirosso
rock	roccia
rock	rock
rock	cullare
rock dove	piccione selvatico
rocket	razzo
rodent	roditore
roe	uova
roe deer	capriolo
roentgenium	roentgenio
roll	far rotolare
roll	arrotolare
roll	impacchettare
roof	tetto
rook	rocco
room	stanza
room	spazio
rooster	gallo
root	radice
rope	corda
rose	rosa
rosemary	rosmarino
rough	ruvido
row	fila
row	riga
row	remare
royal	reale
rub	strofinare
rubidium	rubidio
ruble	rublo
rude	rude
rue	ruta
ruin	diruto
rule	regola
ruler	righello
ruminant	ruminante
run	correre
run/experiment	correre
rust	ruggine
ruthenium	rutenio
rutile	rutilo
rye	segale
röntgen	röntgen
sable	nero
sabre	sciabola
sack	sacco
sacrifice	sacrificio
sacrifice	sacrificare
sad	triste
saddle	sella
saddle	sellino
saffron	zafferano
sail	vela
sail	navigare a vela
sail	veleggiare
sailing	navigazione
sailor	marinaio
saint	santo
salad	insalata
salary	stipendio
sale	vendita
sale	saldo
salesman	venditore
salesperson	venditore
saliva	saliva
salmon	salmone
salty	salato
same	stesso
sample	campione
samurai	samurai
sand	sabbia
sand	spiaggia
sandpaper	carta vetrata
sandwich	tramezzino
sapphire	zaffiro
sarcasm	sarcasmo
sarcophagus	sarcofago
satisfaction	soddisfazione
sauce	salsa
sausage	salame
sausage	salsiccia
save	aiutare
save	salvare
saw	sega
saw	segare
saxophone	sassofono
saying	proverbio
scabbard	fodero
scabies	(acaro
scaffolding	ponteggio
scale	bilancia
scale	scala
scale	scaglia
scales	bilancia
scallion	cipolla d’inverno
scallop	capasanta
scandium	scandio
scanner	dispositivo d'esplorazione
scapegoat	capro espiatorio
scar	cicatrice
scarce	scarso
scare	spaventare
scarecrow	spaventapasseri
scarf	sciarpa
scatter	disperdere
scene	scena
scent	odore
scheme	schema
school	scuola
school	università
science	scienza
scientist	scienziato
scissors	forbici
scold	sgridare
score	punteggio
scorpion	scorpione
scratch	grattare
scream	gridare
screen	schermo
screw	vite
screwdriver	cacciavite
sculpture	scultura
scythe	falce
sea	mare
sea horse	tricheco
seagull	gabbiano
seal	foca
seal	sigillo
seaplane	idrovolante
search	cercare
search	ricerca
search engine	motore di ricerca
season	stagione
season	condire
seaweed	fuca
second	secondo
second	seconda
second	padrino
second	assecondare
secret	segreto
secretary	segretario
sect	setta
see	vedere
seed	seme
seek	cercare
seeker	cercatore
seem	sembrare
seismic	sismico
seize	prendere
seldom	raramente
select	scegliere
selenium	selenio
self	stesso
selfish	egoistico
sell	vendere
semelfactive	semelfattivo
senate	senato
send	inviare
sense	senso
sentence	frase
sentence	condanna
separate	separare
separate	separato
serenade	serenata
serious	serio
serpent	serpente
servant	servo
service	servizio
service	manutenzione
session	sessione
set	insieme
set	deporre
set theory	teoria degli insiemi
seven	sette
seven deadly sins	sette peccati capitali
seven hundred and fifty	settecentocinquanta
seventeen	diciassette
seventh	settimo
seventy	settanta
seventy-five	settantacinque
seventy-four	settantaquattro
seventy-nine	settantanove
seventy-one	settantuno
seventy-seven	settantasette
seventy-six	settantasei
seventy-three	settantatrè
seventy-two	settantadue
several	diversi
sew	cucire
sewing machine	macchina da cucire
sex	sesso
sexology	sessuologia
sexual	sessuale
sexual intercourse	rapporto sessuale
sexual orientation	orientamento sessuale
sexy	sexy
shade	ombra
shadow	ombra
shahada	shahada
shallow	poco profondo
shame	vergogna
shampoo	sciampo
shape	forma
share	parte
shark	squalo
sharp	affilato
shave	radere
she	lei
sheath	fodero
sheep	pecora
sheepdog	cane da pastore
sheet	lenzuolo
sheet	foglio
shelf	scaffale
shepherd	pastore
shh	zitto
shield	scudo
shield	proteggere
shin	stinco
shine	brillare
ship	nave
shirt	camicia
shit	merda
shit	cacare
shit	porcheria
shit	stronzate
shit	stronzo
shock	scossa
shoddy	scadente
shoe	scarpa
shoe	ferro
shoe polish	lucido
shoot	sparare
shop	magazzino
shop	andare per negozi
shore	riva
shot	sparo
shoulder	spalla
shoulder	banchina
shout	gridare
shovel	pala
show	mostrare
show	dimostrare
show	spettacolo
show	mostra
shower	acquazzone
shower	doccia
shower	fare
shrew	toporagno
shrimp	gamberetto
shy	timido
sick	ammalato
sickle	falce
side	lato
sideburns	basette
siege	assedio
siege	assediare
sieve	setaccio
sight	vista
sight	spettacolo
sight	mirino
sight	vedere
sign	segno
significance	significanza
silence	silenzio
silicon	silicio
silk	seta
silkworm	baco da seta
silver	argento
silver	argenteo
silversmith	fabbre d'argento
silverware	argenteria
similar	simile
simple	semplice
simultaneous	simultaneo
simultaneously	simultaneamente
sin	peccato
sin	peccare
sincere	sincero
sine	seno
sing	cantare
singular	singolare
sink	affondare
sister	sorella
sister-in-law	cognata
sisters	sorella
sit	sedere
sit down	sedersi
six	sei
sixteen	sedici
sixth	sesto
sixty	sessanta
sixty-eight	sessantaotto
sixty-five	sessantacinque
sixty-four	sessantaquattro
sixty-nine	sessantanove
sixty-one	sessantuno
sixty-seven	sessantasette
sixty-six	sessantasei
sixty-three	sessantatrè
sixty-two	sessantadue
skeleton	scheletro
ski	sci
ski	sciare
skill	abilità
skim	rimbalzare
skim	scorrere
skin	pelle
skip	saltare
skirt	gonna
skull	cranio
skunk	moffetta
sky	cielo
skylark	allodola
skyscraper	grattacielo
slander	calunnia
slang	gergo
slay	uccidere
sleep	sonno
sleep	dormire
sleeve	manica
slender	snello
slide	scivolare
slight	insignificante
sloop	corvetta
sloth	bradipo
sloth	pigrizia
slow	lento
slowly	lentamente
slug	lumaca
sly	scaltro
small	piccolo
smell	sentire
smell	odore
smile	sorriso
smith	fabbro
smoke	fumo
smoke	fumare
smoke	affumicare
smooth	liscio
snail	chiocciola
snake	serpente
snake	serpeggiare
snare drum	rullante
sneeze	starnutire
sneeze	starnuto
snob	snob
snow	neve
snow	nevicare
snow	effetto neve
snow	nevicata
snow leopard	leopardo delle nevi
snowball	palla di neve
snowflake	fiocco
snowman	pupazzo di neve
snowstorm	bufera di neve
so	tanto
soap	sapone
soccer	calcio
socialism	socialismo
society	società
sock	calza
soda	bibita
sodium	sodio
sofa	divano
soft	morbido
soft drink	bibita
software	software
soil	suolo
solar system	sistema solare
sole	pianta
solid	solido
solid	massiccio
solitude	solitudine
solution	soluzione
some	qualche
somebody	qualcuno
someone	qualcuno
something	qualcosa
sometimes	qualche volta
somewhere	(1): in qualche luogo
somnambulism	sonnambulismo
son of a bitch	figlio di puttana
