0 (number)	0 (число)
Betelgeuse	Бетельгейзе
Bethlehem	Вифлеем
Bette Davis	Дэвис, Бетт
Beverly Hills	Беверли-Хиллз (Калифорния)
Bey	Бей
Bhutan	Бутан
Bhutan	Категория:Бутан
Bible	Библия
Bible	Категория:Библия
Bibliography	Библиография
Bicycle	Велосипед
Big Bang	Большой взрыв
Bihar	Бихар
Bikini	Бикини
Bile	Жёлчь человека
Bill Clinton	Клинтон, Уильям Джефферсон
Bill Gates	Гейтс, Билл
Billy Wilder	Уайлдер, Билли
Binary star	Двойная звезда
Binoculars	Бинокль
Biochemistry	Биохимия
Biochemistry	Категория:Биохимия
Biodiversity	Биоразнообразие
Biogeography	Биогеография
Biography	Биография
Biography	Портал:Персоналии
Biological warfare	Биологическое оружие
Biology	Биология
Biology	Категория:Биология
Biology	Портал:Биология
Biomass	Биомасса
Biome	Природная зона
Biometrics	Биометрия
Biophysics	Биофизика
Biopsy	Биопсия
Biosphere	Биосфера
Biotechnology	Биотехнология
Biotechnology	Категория:Биотехнология
Biotin	Биотин
Bipolar disorder	Биполярное аффективное расстройство
Birch	Берёза
Bird	Птицы
Birmingham	Бирмингем (Алабама)
Birth control	Контрацепция
Bisexuality	Бисексуальность
Bishkek	Бишкек
Bishop	Епископ
Bishop (chess)	Слон (шахматы)
Bismarck	Бисмарк (Северная Дакота)
Bismarck (disambiguation)	Бисмарк (значения)
Bismuth	Висмут
Bissau	Бисау
Bit	Бит
Bithynia	Вифиния
Bivalvia	Двустворчатые
Black	Чёрный цвет
Black Death	Чёрная смерть
Black Forest	Шварцвальд
Black Kite	Чёрный коршун
Black Sea	Чёрное море
Black Stork	Чёрный аист
Black body	Абсолютно чёрное тело
Black hole	Чёрная дыра
Black pepper	Перец чёрный
Blackbird	Чёрный дрозд
Blaise Pascal	Паскаль, Блез
Blender (software)	Blender
Blindness	Слепота
Blitzkrieg	Блицкриг
Bloemfontein	Блумфонтейн
Blog	Блог
Blood	Кровь
Blood plasma	Плазма крови
Blood pressure	Кровяное давление
Blood type	Группы крови
Blood vessel	Кровеносный сосуд
Blue	Синий цвет
Blue Whale	Синий кит
Blues	Блюз
Boar	Дикий кабан
Board game	Настольная игра
Boat	Лодка
Bob Dylan	Дилан, Боб
Bob Marley	Марли, Роберт Неста
Bobby Fischer	Фишер, Роберт Джеймс
Bobsleigh	Бобслей
Bodhisattva	Бодхисаттва
Body mass index	Индекс массы тела
Bodybuilding	Бодибилдинг
Bohemia	Чехия (историческая область)
Bohrium	Борий
Boiling point	Температура кипения
Boise	Бойсе (Айдахо)
Boletus edulis	Белый гриб
Bolivia	Боливия
Bolivia	Категория:Боливия
Bollywood	Болливуд
Bologna	Болонья
Bolshevik	Большевик
Bolzano	Больцано (город)
Bomb	Бомба
Bomber	Бомбардировщик
Bombyx mori	Тутовый шелкопряд
Bond (finance)	Облигация
Bone	Кость
Bone marrow	Костный мозг человека
Bonn	Бонн
Bonsai	Бонсай
Book	Книга
Book of Esther	Книга Есфирь
Book of Joshua	Книга Иисуса Навина
Book of Judges	Книга Судей Израилевых
Book of Mormon	Книга Мормона
Book of Numbers	Книга Числа
Book of Revelation	Откровение Иоанна Богослова
Book of Ruth	Книга Руфь
Boolean algebra (structure)	Булева алгебра
Boomerang	Бумеранг
Bordeaux	Бордо
Boris Godunov	Борис Годунов
Boris Pasternak	Пастернак, Борис Леонидович
Boris Spassky	Спасский, Борис Васильевич
Borneo	Калимантан
Boron	Бор (элемент)
Bosnia and Herzegovina	Босния и Герцеговина
Bosnia and Herzegovina	Категория:Босния и Герцеговина
Boson	Бозон (элементарная частица)
Bosporus	Босфор
Boston	Бостон
Boston Tea Party	Бостонское чаепитие
Bot	Шаблон:Bot
Botanical garden	Ботанический сад
Botany	Ботаника
Botany	Категория:Ботаника
Botswana	Ботсвана
Botswana	Категория:Ботсвана
Bottle	Бутылка
Bottlenose Dolphin	Афалина
Bourgeoisie	Буржуазия
Bourgogne	Бургундия
Bouvet Island	Буве
Bovid	Полорогие
Bow (weapon)	Лук (оружие)
Bowling	Боулинг
Boxer (dog)	Боксёр (порода собак)
Boxers	Категория:Боксёры
Boxing	Бокс
Boxing	Категория:Бокс
Bracket	Скобки
Braga	Брага (Португалия)
Brahma	Брахма
Brahmaputra River	Брахмапутра
Braille	Шрифт Брайля
Brain	Головной мозг
Brainstorming	Метод мозгового штурма
Bram Stoker	Стокер, Брэм
Brandenburg	Бранденбург
Brandy	Бренди
Brass	Латунь
Brassicaceae	Капустные
Brassiere	Бюстгальтер
Bratislava	Братислава
Braunschweig	Брауншвейг
Brazil	Бразилия
Brazil	Категория:Бразилия
Brazzaville	Браззавиль
Bread	Хлеб
Breast	Женская грудь
Breast cancer	Злокачественные новообразования молочной железы
Bremen	Бремен
Bremen (state)	Бремен (федеральная земля)
Bremerhaven	Бремерхафен
Brescia	Брешиа
Brest	Брест (Франция)
Brest	Брест (Белоруссия)
Brest	Брест
Bretagne	Бретань
Brick	Кирпич
Bridge	Мост
Bridges	Категория:Мосты
Bridgetown	Бриджтаун
Brigade	Бригада
Brighton	Брайтон
Brindisi	Бриндизи
Brisbane	Брисбен
Bristol	Бристоль
British Columbia	Британская Колумбия
British Empire	Британская империя
British Isles	Британские острова
British Virgin Islands	Британские Виргинские острова
British people	Категория:Персоналии:Великобритания
Brno	Брно
Broadway (New York City)	Бродвей (улица)
Broccoli	Брокколи
Bromine	Бром
Bronze	Бронза
Bronze Age	Бронзовый век
Brooklyn	Бруклин
Brooklyn Bridge	Бруклинский мост
Brown	Коричневый цвет
Brown Bear	Бурый медведь
Brownian motion	Броуновское движение
Bruce Lee	Ли, Брюс
Bruges	Брюгге
Brunei	Бруней
Brunei	Категория:Бруней
Brussels	Брюссель
Bubonic plague	Чума
Bucharest	Бухарест
Buckingham Palace	Букингемский дворец
Buckminster Fuller	Фуллер, Ричард Бакминстер
Buckwheat	Гречиха
Budapest	Будапешт
Buddha	Будда
Buddhism	Буддизм
Buddhism	Категория:Буддизм
Buddy Holly	Бадди Холли
Buenos Aires	Буэнос-Айрес
Buffalo	Буффало
Building	Здание
Bujumbura	Бужумбура
Bulgaria	Болгария
Bulgaria	Категория:Болгария
Bumblebee	Шмели
Buoyancy	Закон Архимеда
Bureaucracy	Бюрократия
Burgomaster	Бургомистр
Burkina Faso	Буркина Фасо
Burkina Faso	Категория:Буркина Фасо
Burma	Мьянма
Burma	Категория:Мьянма
Bursa	Бурса (город)
Burundi	Категория:Бурунди
Bus	Автобус
Bus (computing)	Шина (компьютеры)
Business	Предприятие
Businesspeople	Категория:Предприниматели
Buster Keaton	Китон, Бастер
Butane	Бутан (химия)
Butter	Сливочное масло
Butterfly	Чешуекрылые
Butterfly effect	Эффект бабочки
Bydgoszcz	Быдгощ
Byte	Байт
Byzantine Empire	Категория:Византия
C	C (латиница)
C (programming language)	Си (язык программирования)
C. S. Lewis	Льюис, Клайв Стэйплз
CD (disambiguation)	CD (значения)
CHAOS (Linux distribution)	CHAOS
CN Tower	Си-Эн Тауэр
COBOL	КОБОЛ
Cabaret	Кабаре
Cacao	Какао
Cache	Кэш
Cactus	Кактусовые
Cadmium	Кадмий
Cadmus	Кадм
Caelum	Резец (созвездие)
Caesium	Цезий
Caffeine	Кофеин
Cairo	Каир
Cake	Кекс
Calabria	Калабрия
Calais	Кале
Calcite	Кальцит
Calcium	Кальций
Calcium carbonate	Карбонат кальция
Calcium oxide	Оксид кальция
Calculator	Калькулятор
Calculus	Математический анализ
Caldera	Кальдера
Calendar	Календарь
Caliber	Калибр
California	Калифорния
California	Категория:Калифорния
Californium	Калифорний
Caligula	Калигула
Caliph	Халиф
Caliphate	Халифат
Calligraphy	Каллиграфия
Calliope	Каллиопа
Callisto (moon)	Каллисто (спутник)
Callisto (mythology)	Каллисто
Calorie	Калория
Calvados	Кальвадос (департамент)
Calvary	Голгофа
Calvin Coolidge	Кулидж, Калвин
Calvinism	Кальвинизм
Calypso (mythology)	Калипсо
Cambodia	Камбоджа
Cambodia	Категория:Камбоджа
Cambrian	Кембрий
Cambridge	Кембридж
Cambridge	Кембридж (Массачусетс)
Cambridge (disambiguation)	Кембридж (значения)
Camel	Верблюды
Camembert (cheese)	Камамбер
Camera	Фотоаппарат
Cameroon	Камерун
Cameroon	Категория:Камерун
Campania	Кампания
Canada	Канада
Canada	Категория:Канада
Canadian dollar	Канадский доллар
Canal	Канал (водный)
